,score,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site_electricity_intensity_kwh_ft,green_power_offsite_kwh,egrid_output_emissions_rate_kgco2e_mbtu,percent_of_electricity_that_is_green_power,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_total,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude
170,93.0,211200.0,1976,1,100,39.8,3.5,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,1766.8,2.0,0,0,304.0,431.0,-73.919777,40.697781
171,91.0,303600.0,1925,1,100,51.7,5.0,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,777.1,4.0,0,0,315.0,642.0,-73.948512,40.609912
172,81.0,286800.0,1931,1,100,70.0,5.2,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,754.7,3.0,0,0,311.0,182.0,-74.003404,40.613262
173,87.0,296400.0,1929,1,100,52.8,3.2,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,0.7,3.0,0,0,317.0,936.0,-73.922171,40.648657
235,46.0,34800.0,1915,1,100,73.8,8.1,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,447.0,3.0,0,0,301.0,503.0,-73.946977,40.710609
236,71.0,93600.0,1931,1,100,78.5,3.4,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,640.7,3.0,0,0,306.0,45.0,-73.99806,40.686951
237,93.0,135600.0,1949,1,100,58.2,2.6,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,0.0,3.0,0,0,303.0,273.0,-73.935963,40.681896
238,94.0,27600.0,1898,1,100,50.5,4.2,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,477.1,2.0,0,0,305.0,96081.99679999948,-73.87691,40.683536
239,71.0,88800.0,1964,1,100,54.3,3.0,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,3.0,0,0,313.0,350.0,-73.979628,40.578255
240,82.0,114000.0,1908,1,100,55.4,4.6,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,64.3,3.0,0,0,307.0,98.0,-74.008252,40.64366
241,91.0,116400.0,1931,1,100,54.4,3.2,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,586.9,3.0,0,0,310.0,68.0,-74.02897888640001,40.63402
242,85.0,80400.0,1900,1,100,38.7,2.9,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,1068.0,3.0,0,0,301.0,591.0,-73.942312,40.7152691568
243,92.0,60000.0,1931,1,100,46.6,3.6,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,3.0,0,0,304.0,433.0,-73.916521,40.697779
244,59.0,39600.0,1900,1,100,58.6,7.2,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,819.3,3.0,0,0,306.0,141.0,-73.991046,40.667545
245,92.0,57180.0,1933,1,100,43.4,3.9,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,86.8,3.0,0,0,314.0,480.0,-73.973898,40.63228
257,87.0,91200.0,1935,1,100,57.1,4.2,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,42.7,3.0,0,0,312.0,476.0,-73.979995,40.629303
258,74.0,82800.0,1931,1,100,60.8,3.8,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,2998.3,3.0,0,0,314.0,768.0,-73.963476,40.616632
259,93.0,104400.0,1971,1,100,44.8,2.5,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,365.9,3.0,0,0,305.0,1202.0,-73.869147952,40.676513
260,67.0,96000.0,1939,1,100,66.6,3.4,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,60.7,3.0,0,0,309.0,355.0,-73.936049,40.663701
261,79.0,186000.0,1936,1,100,65.8,2.6,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,472.8,3.0,0,0,313.0,330.0,-73.99203,40.578207724799995
262,93.0,109200.0,1957,1,100,43.4,4.4,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,397.2,3.0,0,0,302.0,43.0,-73.988288,40.687466
263,85.0,123600.0,1960,1,100,45.3,3.0,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,707.4,3.0,0,0,304.0,393.0,-73.927931,40.694921
264,56.0,62400.0,1967,1,100,73.0,4.7,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,3.0,0,0,318.0,666.0,-73.928793,40.596145
265,98.0,183600.0,1967,1,100,39.8,3.0,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,215.5,3.0,0,0,311.0,304.0,-73.993457,40.595341
266,95.0,136800.0,1973,1,100,40.0,3.5,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,46.4,3.0,0,0,313.0,342.0,-73.996292,40.578207724799995
267,91.0,147600.0,1973,1,100,44.1,4.0,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,3.0,0,0,304.0,409.0,-73.904803,40.690353
268,83.0,177600.0,1920,1,100,57.5,2.9,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,0.0,3.0,0,0,308.0,31701.0,-73.951443,40.67438
269,81.0,212400.0,1940,1,100,64.0,4.0,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,3.0,0,0,305.0,1196.0,-73.87596,40.678276
270,92.0,207775.0,1920,1,100,40.1,4.8,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,636.1,3.0,0,0,302.0,15.0,-73.985016,40.697339
271,92.0,460800.0,1981,1,100,47.7,3.5,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,3.0,0,0,301.0,485.0,-73.939722,40.712184
272,84.0,74830.0,1931,1,100,47.2,7.1,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,234.1,2.0,0,0,304.0,393.0,-73.929107,40.694507
273,60.0,127200.0,2002,1,100,62.0,8.9,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,1807.4,3.0,0,0,318.0,970.0,-73.907774,40.64883
329,71.0,72000.0,1929,1,100,51.2,6.1,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,763.3,2.0,0,0,302.0,11.0,-73.993241,40.70071
330,63.0,91200.0,1919,1,100,69.4,5.0,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,216.1,3.0,0,0,301.0,519.0,-73.956716,40.7152691568
331,80.0,138000.0,1920,1,100,59.1,4.4,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,333.5,3.0,0,0,301.0,523.0,-73.960275,40.711704
332,98.0,196800.0,1965,1,100,38.7,3.3,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,227.4,3.0,0,0,316.0,36501.0,-73.913273,40.674103
333,77.0,115200.0,1959,1,100,61.4,2.7,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,3.0,0,0,303.0,28502.0,-73.943652,40.696733
334,68.0,92400.0,1907,1,100,72.3,1.9,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,2933.2,3.0,0,0,303.0,247.0,-73.94684,40.679097
335,55.0,52800.0,1931,1,100,71.3,9.4,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,3.0,0,0,313.0,35602.0,-73.969517,40.578207724799995
336,27.0,25715.0,1937,1,100,88.4,9.0,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,8290.9,3.0,0,0,308.0,163.0,-73.97038,40.676094
337,77.0,205200.0,1974,1,100,49.6,6.1,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,307.1,4.0,0,0,303.0,293.0,-73.932275,40.68832
338,87.0,55200.0,1900,1,100,57.9,3.2,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,3.0,0,0,316.0,373.0,-73.917088,40.682458
339,75.0,66000.0,1908,1,100,51.3,3.9,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,0.0,3.0,0,0,305.0,1200.0,-73.869469,40.675766
340,57.0,88800.0,1931,1,100,58.0,3.9,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,3.0,0,0,304.0,445.0,-73.919805,40.707229
346,67.0,90000.0,1907,1,100,67.4,2.9,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,3.0,0,0,308.0,353.0,-73.934635,40.669001
347,77.0,92400.0,1936,1,100,62.9,4.2,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,1978.2,3.0,0,0,311.0,274.0,-73.994677,40.611483
348,72.0,112800.0,1930,1,100,67.1,4.4,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,120.3,3.0,0,0,318.0,646.0,-73.938871,40.613317
349,75.0,146400.0,1929,1,100,56.9,3.7,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,281.5,3.0,0,0,311.0,250.0,-73.995022,40.62191
350,84.0,110400.0,1961,1,100,54.7,4.2,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,3.0,0,0,308.0,309.0,-73.935688,40.676094
351,98.0,105600.0,1964,1,100,30.2,3.4,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,1295.3,3.0,0,0,318.0,996.0,-73.907925,40.634085
352,82.0,144000.0,1931,1,100,50.0,3.2,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,2.0,0,0,317.0,936.0,-73.921006,40.646877
353,85.0,106800.0,1952,1,100,47.9,3.5,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,3.0,0,0,302.0,23.0,-73.98054,40.697901
354,78.0,195600.0,1966,1,100,72.2,4.2,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,3218.9,3.0,0,0,305.0,1144.0,-73.892844,40.671544
355,93.0,141600.0,1972,1,100,43.4,3.8,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,3.0,0,0,303.0,293.0,-73.935499,40.688695
356,88.0,114000.0,1967,1,100,63.9,2.9,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,1361.9,3.0,0,0,316.0,908.0,-73.906552,40.672462
357,83.0,147600.0,1974,1,100,49.8,4.2,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,0.6,3.0,0,0,305.0,96081.99679999948,-73.881114,40.64726
358,90.0,126000.0,1974,1,100,37.4,3.5,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,871.2,2.0,0,0,304.0,415.0,-73.915263,40.694018
359,97.0,196800.0,1975,1,100,33.2,4.0,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,3.0,0,0,309.0,876.0,-73.936382,40.662447
360,82.0,213600.0,1911,1,100,58.7,5.2,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,3.0,0,0,303.0,249.0,-73.947152,40.685004
361,75.0,460800.0,1974,1,100,53.8,5.1,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,1389.1,4.0,0,0,303.0,271.0,-73.932407,40.67944
362,84.0,460800.0,1932,1,100,53.0,3.7,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,9868.64512000004,3.0,0,0,302.0,33.0,-73.976905,40.688834
363,82.0,86575.0,1931,1,100,66.9,3.1,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,484.4,3.0,0,0,303.0,249.0,-73.949737,40.681233
