,score,property_id,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,weather_normalized_site_electricity_kwh,direct_ghg_emissions_metric_tons_co2e,indirect_ghg_emissions_metric_tons_co2e,egrid_output_emissions_rate_kgco2e_mbtu,avoided_emissions_offsite_green_power_metric_tons_co2e,percent_of_electricity_that_is_green_power,multifamily_housing_number_of_bedrooms_density_number_per_1_000_sq_ft,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_used_to_compute_metrics,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude
23212,68,10395764.0,52758.0,1921.0,1,100,204019.1,186.7,57.1,79.5,0.0,0.0,1.44054,1.02354,0.0,54.0,1.02354,90.0,100.0,5029.7,7.0,0,0,207.0,40303.0,-73.892157,40.869005
23213,55,10395770.0,45000.0,1926.0,1,100,168960.6,185.5,47.8,79.5,0.0,0.0,1.44444,1.06667,0.0,48.0,1.06667,90.0,100.0,4374.1,9.0,0,0,208.0,26702.0,-73.899196,40.871638
23214,32,10395929.0,65000.0,1924.0,1,100,255877.8,263.8,71.4,79.5,0.0,0.0,0.89231,0.83077,0.0,54.0,0.83077,90.0,100.0,4594.425778134381,13.0,0,0,207.0,415.0,-73.88442,40.868874
23215,59,10396116.0,34320.0,1931.0,1,100,108110.4,128.3,29.5,79.5,0.0,0.0,1.01981,0.90326,0.0,31.0,0.90326,90.0,100.0,4594.425778134381,9.0,0,0,207.0,415.0,-73.884005,40.870123
23216,86,10396223.0,50000.0,1928.0,1,100,155505.5,143.4,43.5,79.5,0.0,0.0,1.24,0.96,0.0,48.0,0.96,90.0,100.0,4594.425778134381,8.0,0,0,207.0,425.0,-73.878182,40.873454
23217,100,10396375.0,36800.0,1953.0,1,100,177079.1,22.3,49.4,79.5,0.0,0.0,1.63044,1.05978,0.0,39.0,1.05978,90.0,100.0,3047.0,7.0,0,0,207.0,411.0,-73.885487,40.876975
23218,67,10396921.0,61620.0,1923.0,1,100,276948.1,233.1,77.0,79.5,0.0,0.0,1.96365,1.03862,0.0,64.0,1.03862,90.0,100.0,5691.9,8.0,0,0,207.0,425.0,-73.880408,40.871942
23219,47,10396944.0,68500.0,1931.0,1,100,288498.9,252.3,81.8,79.5,0.0,0.0,1.12409,0.90511,0.0,62.0,0.90511,90.0,100.0,5660.5,10.0,0,0,207.0,421.0,-73.883947,40.88263
23220,66,10396947.0,51896.0,1941.0,1,100,200972.5,181.0,56.2,79.5,0.0,0.0,1.34885,0.96347,0.0,50.0,0.96347,90.0,100.0,4594.425778134381,10.0,0,0,207.0,40303.0,-73.895603,40.869044
23221,28,10396949.0,38040.0,1937.0,1,100,213521.2,172.8,60.5,79.5,0.0,0.0,1.31441,1.28812,0.0,49.0,1.28812,90.0,100.0,7843.7,7.0,0,0,201.0,73.0,-73.909655,40.81442
