,score,largest_property_use_type_1,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site,green_power_offsite_kwh,egrid_output_emissions_rate,avoided_emissions_offsite,avoided_emissions_onsite_1,percent_of_electricity_that,multifamily_housing_total_1,multifamily_housing_number_5,multifamily_housing_number_6,multifamily_housing_number_7,multifamily_housing_percent,water_use_all_water_sources,community_board,census_tract,latitude,longitude
181,77.0,105600.0,1931.0,1,100.0,64.1,4.5,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,315.0,420.0,40.608862,-73.965058
182,86.0,102000.0,1964.0,1,100.0,52.0,2.9,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,301.0,505.0,40.707104,-73.945475
183,92.0,106800.0,1931.0,1,100.0,45.5,4.0,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,6960.1,301.0,491.0,40.702392,-73.941801
184,93.0,166800.0,1957.0,1,100.0,40.2,4.8,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,302.0,211.0,40.696324,-73.97578
185,88.0,190800.0,1930.0,1,100.0,54.4,4.2,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,316.0,922.0,40.656068,-73.907245
186,63.0,104400.0,1931.0,1,100.0,76.3,4.1,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,35.3,306.0,131.0,40.67634,-73.977367
187,90.0,106800.0,1962.0,1,100.0,49.7,3.1,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,10159.2,303.0,265.0,40.686076,-73.945229
188,62.0,75600.0,1978.0,1,100.0,59.1,6.7,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,305.0,1198.0,40.67789,-73.889758
189,97.0,154800.0,1929.0,1,100.0,52.8,2.9,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,86.7,302.0,39.0,40.683559,-73.98027
190,80.0,211200.0,1976.0,1,100.0,52.6,5.2,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,13193.8,304.0,431.0,40.697781,-73.919777
191,60.0,303600.0,1925.0,1,100.0,99.7,4.9,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,17827.7,315.0,642.0,40.609912,-73.948512
192,82.0,286800.0,1931.0,1,100.0,60.8,7.0,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,11721.8,311.0,182.0,40.613262,-74.003404
193,70.0,296400.0,1929.0,1,100.0,71.0,4.1,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,343.6,317.0,936.0,40.648657,-73.922171
262,43.0,34800.0,1915.0,1,100.0,80.8,7.9,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5117.7,301.0,503.0,40.710609,-73.946977
263,38.0,110400.0,1951.0,1,100.0,88.7,4.3,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,302.0,183.0,40.690765,-73.971376
264,70.0,93600.0,1931.0,1,100.0,85.3,2.7,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5210.1,306.0,45.0,40.686951,-73.99806
265,79.0,135600.0,1949.0,1,100.0,77.7,3.6,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,249.0,303.0,273.0,40.681896,-73.935963
266,74.0,159600.0,1955.0,1,100.0,62.3,4.0,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,6570.5,303.0,291.0,40.691274,-73.933697
267,83.0,27600.0,1899.0,1,100.0,63.0,6.3,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,2859.5,305.0,99801.0,40.683536,-73.87691
268,64.0,88800.0,1964.0,1,100.0,57.1,4.1,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,313.0,350.0,40.578255,-73.979628
269,70.0,114000.0,1908.0,1,100.0,67.8,5.6,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,4762.0,307.0,98.0,40.64366,-74.008252
270,81.0,116400.0,1931.0,1,100.0,64.3,4.6,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,7590.2,310.0,68.0,40.63402,-74.029036
271,78.0,80400.0,1900.0,1,100.0,45.8,3.4,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,6445.2,301.0,591.0,40.71727224,-73.942312
272,87.0,60000.0,1931.0,1,100.0,54.3,4.3,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,304.0,433.0,40.697779,-73.916521
273,82.0,176400.0,1968.0,1,100.0,56.1,3.2,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,13168.4,303.0,235.0,40.692642,-73.958794
274,46.0,39600.0,1900.0,1,100.0,76.3,7.0,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,8032.8,306.0,141.0,40.667545,-73.991046
275,82.0,57180.0,1933.0,1,100.0,56.1,5.0,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,2953.5,314.0,480.0,40.63228,-73.973898
287,74.0,91200.0,1935.0,1,100.0,73.0,4.8,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,829.5,312.0,476.0,40.629303,-73.979995
