,score,largest_property_use_type_1,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site,green_power_offsite_kwh,egrid_output_emissions_rate,avoided_emissions_offsite,avoided_emissions_onsite_1,percent_of_electricity_that,multifamily_housing_total_1,multifamily_housing_number_5,multifamily_housing_number_6,multifamily_housing_number_7,multifamily_housing_percent,water_use_all_water_sources,community_board,census_tract,latitude,longitude
5348,48.0,195884.0,1920,1,90.0,99.5,15.5,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,6398.1,105.0,95.0,40.747549,-73.993143
5366,77.0,65745.0,1900,1,100.0,40.8,11.9,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,723.4,105.0,52.0,40.737652,-73.989759
5369,72.0,67132.0,1899,1,100.0,61.6,3.7,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,105.0,96.0,40.755156,-73.980848
5389,17.0,76000.0,1925,1,100.0,105.7,17.3,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,105.0,82.0,40.75001,-73.981333
5428,95.0,110200.0,1929,1,100.0,62.1,5.9,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,104.0,115.0,40.7551,-73.992539
5429,94.0,95490.0,1924,1,100.0,56.6,7.5,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,822.3,105.0,109.0,40.754216,-73.990478
5466,76.0,216817.0,1900,1,100.0,60.4,11.0,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,102.0,43.0,40.72496,-73.997157
5498,37.0,966147.800000002,1957,1,70.0,121.6,21.6,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,19903.3,105.0,104.0,40.760549,-73.976421
5551,93.0,59445.0,1930,1,100.0,37.5,5.2,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,869.9,102.0,37.0,40.725564,-74.009178
5570,85.0,966147.800000002,1990,1,100.0,57.2,16.7,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,101.0,9.0,40.70443807,-74.011325
