,score,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site_electricity_intensity_kwh_ft,green_power_offsite_kwh,egrid_output_emissions_rate_kgco2e_mbtu,percent_of_electricity_that_is_green_power,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_total,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude
2708,91.0,258400.0,1919,1,100,46.8,10.1,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,7,0,0,105.0,113.0,-73.988551,40.753851
2709,25.0,411534.0,1972,1,100,106.8,19.0,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,12321.2,14,7,0,105.0,119.0,-73.985973,40.756856
2710,75.0,527232.0,1972,1,100,95.1,14.9,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,11,0,0,105.0,11201.0,-73.975352,40.763538
2724,56.0,343498.0,1954,1,100,98.3,13.8,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,2,0,0,105.0,113.0,-73.986905,40.754158
2725,72.0,339337.0,1910,1,100,85.7,11.6,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,9,0,0,105.0,101.0,-73.992244,40.74879
2765,78.0,304202.0,1957,1,60,63.1,10.813295580110498,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,6547.5,3,0,0,105.0,102.0,-73.974562,40.762135
2768,71.0,343354.0,1950,1,100,78.1,12.5,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,4,0,0,105.0,11202.0,-73.972706,40.7618
2769,85.0,201052.0,1929,1,100,62.4,8.6,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,1917.5,3,0,0,106.0,90.0,-73.972266,40.752355
2770,85.0,109421.0,1926,1,100,47.4,8.7,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,2,0,0,105.0,84.0,-73.983993,40.752313
2800,55.0,920386.9700000044,2007,1,100,100.0,12.9,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,16860.8,11,0,0,105.0,113.0,-73.990651,40.756039
2832,87.0,79230.0,1926,1,100,61.3,7.0,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,1787.4,7,0,0,105.0,109.0,-73.991489,40.752237
2842,59.0,685800.0,1974,1,85,120.0,27.14799999999996,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,15478.5,4,0,0,101.0,29.0,-74.001125,40.710207
2845,73.0,249417.0,1958,1,100,50.3,11.3,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,3,0,0,105.0,102.0,-73.971895,40.760057
2850,94.0,527605.0,1912,1,80,40.1,7.3,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,6,1,0,101.0,7.0,-74.007329,40.707116
2851,99.0,52300.0,1904,1,100,56.1,9.3,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,8,1,0,105.0,52.0,-73.992458,40.73758
2852,80.0,52300.0,1904,1,100,56.1,9.3,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,7,0,0,105.0,52.0,-73.992458,40.73758
2853,89.0,97306.0,1906,1,100,88.6,7.5,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4780.8,11,0,0,105.0,54.0,-73.991855,40.740048
2854,75.0,105490.0,1906,1,100,90.9,7.5,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4780.8,11,0,0,105.0,54.0,-73.991855,40.740048
2855,87.0,100800.0,1908,1,100,44.9,7.0,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,3808.4,5,0,0,105.0,54.0,-73.992021,40.740136
2856,96.0,100800.0,1908,1,100,43.7,7.0,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,3808.4,5,0,0,105.0,54.0,-73.992021,40.740136
2857,91.0,60841.0,1911,1,100,56.1,5.5,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,4,0,0,104.0,91.0,-73.993233,40.744752
2858,77.0,60984.0,1911,1,100,55.9,5.5,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,255.1,4,0,0,104.0,91.0,-73.993233,40.744752
2859,92.0,111615.0,1927,1,100,71.7,4.8,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,520.8,3,0,0,105.0,95.0,-73.991963,40.746638
2860,97.0,64856.0,1913,1,100,62.9,9.3,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,5,0,0,104.0,91.0,-73.992295,40.745164
2861,86.0,64856.0,1913,1,100,62.9,9.3,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,1211.1,5,0,0,104.0,91.0,-73.992295,40.745164
2880,73.0,61250.0,1907,1,100,64.9,14.7,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,873.7,7,2,0,101.0,9.0,-74.009792,40.704827
2900,95.0,64414.0,1926,1,95,63.9,3.8,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,145.9,2,0,0,105.0,95.0,-73.993623,40.748952
2903,89.0,621001.0,1960,1,95,55.8,9.9,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,7558.2,11,0,0,106.0,88.0,-73.973819,40.751617
2918,76.0,130000.0,1913,1,100,54.3,12.5,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,2722.8,5,0,0,105.0,68.0,-73.984999,40.741282
2919,58.0,140525.0,1928,1,100,69.6,12.5,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,3,0,0,106.0,90.0,-73.969548,40.752862
2920,96.0,237067.0,1928,1,100,44.4,8.9,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,6,0,0,105.0,74.0,-73.985619,40.744096
2921,91.0,110000.0,1930,1,100,47.5,5.1,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,235.6,5,0,0,105.0,76.0,-73.988635,40.745869
2922,75.0,47182.0,1912,1,100,56.9,9.2,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,1253.5,6,0,0,105.0,74.0,-73.983489,40.746297
2923,61.0,501071.0,1970,1,100,76.8,11.6,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,11078.8,3,0,0,106.0,80.0,-73.975783,40.74898
2932,81.0,87408.0,1901,1,100,71.5,12.3,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,5,0,0,105.0,52.0,-73.992581,40.737416
2933,72.0,730647.0,1925,1,100,59.6,12.9,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,14644.8,3,0,0,105.0,72.0,-73.982071,40.746069
2936,71.0,54000.0,1900,1,100,52.4,14.3,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,6,0,0,102.0,47.0,-74.001807,40.723374
2939,92.0,733766.0,1929,1,100,49.2,9.2,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4831.7,6,0,0,101.0,33.0,-74.006897,40.717363
2942,97.0,110000.0,1905,1,100,39.1,5.3,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,1380.9,7,1,0,102.0,5502.0,-73.996067,40.726247
2969,71.0,68667.0,1964,1,90,66.9,12.0,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,791.7,3,0,0,105.0,96.0,-73.978238,40.757129
2999,31.0,97780.0,1924,1,100,77.2,20.5,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4454.3,4,0,0,105.0,96.0,-73.979855,40.757193
3000,64.0,246417.0,1912,1,100,56.5,15.6,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,8,0,0,105.0,76.0,-73.98648,40.749256
3001,97.0,141478.0,1908,1,100,21.8,6.4,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,1743.0,3,0,0,105.0,76.0,-73.984243,40.748888
3002,72.0,400080.0,1928,1,100,63.3,10.9,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,2,0,0,105.0,82.0,-73.981091,40.751879
3003,89.0,111449.0,1927,1,100,45.3,6.7,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,3,0,0,105.0,113.0,-73.986075,40.753173
3005,52.0,112490.0,1910,1,100,69.4,18.2,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,1703.3,3,0,0,105.0,96.0,-73.979975,40.755604
3006,93.0,72511.0,1930,1,100,29.1,8.5,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,2640.6,2,0,0,105.0,11202.0,-73.972082,40.762162
3008,60.0,61240.0,1906,1,100,52.3,15.3,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,1090.7,2,0,0,105.0,82.0,-73.982372,40.751427
3011,31.0,500190.0,1981,1,100,105.0,17.1,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,3,0,0,106.0,100.0,-73.971124,40.755341
3013,79.0,150358.0,1902,1,100,69.2,13.0,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,13907.4,9,3,0,102.0,45.0,-73.999033,40.722748
3023,95.0,319422.0,1969,1,100,68.9,8.7,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,3,0,0,105.0,94.0,-73.979997,40.753979
3029,55.0,663404.0,1981,1,100,91.6,18.9,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,3,0,0,105.0,82.0,-73.978428,40.751684
3045,68.0,35057.0,1900,1,100,54.2,11.3,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,3,0,0,102.0,47.0,-74.000076,40.721543
3048,74.0,103707.0,1926,1,100,60.0,9.0,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,3,0,0,105.0,137.0,-73.977972,40.764655
3049,80.0,82500.0,1911,1,90,50.9,7.0,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,409.2,4,0,0,104.0,87.0,-73.994089,40.742562
3071,71.0,920386.9700000044,1970,1,100,87.0,13.4,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,27847.7,12,7,0,106.0,108.0,-73.968333,40.759136
3072,71.0,920386.9700000044,1970,1,100,87.0,13.4,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,27847.7,12,7,0,106.0,108.0,-73.968333,40.759136
3073,84.0,920386.9700000044,1970,1,100,81.9,8.7,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,5,2,0,101.0,9.0,-74.011249,40.704275
3074,61.0,672763.0,1970,1,100,86.1,14.6,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,14698.5,16,7,0,105.0,125.0,-73.982125,40.757586
3075,75.0,463167.0,1920,1,100,76.1,11.4,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,11104.8,7,4,0,105.0,11202.0,-73.971551,40.763381
3076,69.0,564657.0,1964,1,95,77.9,10.1,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,6950.2,11,5,0,105.0,104.0,-73.978341,40.762731
3077,77.0,478028.0,1956,1,100,65.0,10.8,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,2728.1,8,3,0,106.0,90.0,-73.973266,40.752374
3078,67.0,547848.0,1958,1,100,74.8,13.5,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,8560.0,12,7,0,106.0,92.0,-73.972309,40.753722
3079,80.0,850336.0,1948,1,100,52.1,10.8,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,11432.5,14,7,0,105.0,82.0,-73.978504,40.751
3080,76.0,222702.0,1988,1,100,52.2,12.5,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,1789.3,8,3,0,105.0,82.0,-73.981748,40.752286
3081,42.0,760457.0,1971,1,100,105.2,20.0,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,16989.8,9,4,0,104.0,135.0,-73.990927,40.770125
3082,62.0,443638.0,1988,1,90,72.5,18.9,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,5,0,0,105.0,119.0,-73.983544,40.757117
3083,79.0,920386.9700000044,1928,1,100,56.2,10.2,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,8763.4,10,4,0,105.0,92.0,-73.975464,40.752262
3085,64.0,634244.0,1969,1,95,91.4,12.2,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,12122.9,16,7,0,105.0,131.0,-73.982146,40.762639
3086,84.0,311340.0,1914,1,100,56.2,9.9,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,1713.1,6,1,0,105.0,50.0,-73.988713,40.736963
3087,79.0,778294.0,1958,1,80,60.1,11.3,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,8029.6,16,7,0,106.0,92.0,-73.973994,40.754244
3088,66.0,920386.9700000044,1972,1,100,76.4,11.1,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,21454.1,11,6,0,105.0,119.0,-73.985804,40.757636
3090,61.0,271818.0,1954,1,100,82.4,16.6,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,3218.1,4,1,0,104.0,111.0,-73.994536,40.752652
3091,72.0,531574.0,1923,1,100,61.6,15.0,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,5710.6,11,4,0,105.0,80.0,-73.977677,40.751681
3092,78.0,920386.9700000044,1930,1,85,44.0,12.7,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,12594.2,10,4,0,106.0,88.0,-73.973256,40.750256
3093,72.0,892704.0,1965,1,100,87.7,14.2,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,8,2,0,105.0,104.0,-73.978309,40.760648
3096,80.0,573483.0,1953,1,100,51.7,9.7,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,7,0,0,106.0,80.0,-73.978666,40.750745
3099,100.0,167555.0,1921,1,25,6.0,0.6,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,2,0,0,101.0,13.0,-74.01239,40.708645
3171,79.0,150355.0,1931,1,100,56.6,7.9,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,1523.8,4,0,0,106.0,64.0,-73.982495,40.738548
3172,95.0,122841.0,1914,1,100,52.8,6.5,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,6,0,0,105.0,74.0,-73.983124,40.746972
3173,30.0,118008.0,1915,1,100,115.7,21.3,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,5,2,0,105.0,94.0,-73.980495,40.754001
3197,94.0,54395.0,1925,1,100,44.1,1.5,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,62.3,4,0,0,104.0,115.0,-73.992864,40.755237
3201,52.0,160675.0,1971,1,100,75.4,14.4,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,4,0,0,105.0,82.0,-73.981159,40.75309
3202,64.0,49000.0,1915,1,100,60.5,8.3,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,1263.5,4,0,0,105.0,74.0,-73.984381,40.745062
3220,87.0,109361.0,1915,1,100,51.5,9.4,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,3,0,0,101.0,33.0,-74.00759,40.716965
3251,53.0,920386.9700000044,2008,1,100,179.81024999999994,8.3,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,4,0,0,105.0,119.0,-73.984248,40.755355
3309,93.0,57300.0,1900,1,100,50.3,4.1,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,773.6,5,0,0,105.0,76.0,-73.987048,40.745037
3310,96.0,98280.0,1900,1,100,36.6,5.8,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,1090.3,6,0,0,102.0,5502.0,-73.996136,40.726165
3311,75.0,103823.0,1927,1,100,64.9,8.4,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,751.8,7,0,0,105.0,113.0,-73.989616,40.75547
3361,45.0,114825.0,1912,1,100,84.6,14.6,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,3,0,0,105.0,76.0,-73.988097,40.748655
3415,71.0,556724.0,1982,1,95,57.3,13.4,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,3,0,0,106.0,92.0,-73.974172,40.753157
3422,82.0,91764.0,1900,1,100,69.5,7.2,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,1534.9,5,0,0,101.0,21.0,-74.006172,40.714349
3423,47.0,52343.0,1915,1,100,105.2,11.6,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,17,7,0,101.0,33.0,-74.004787,40.715999
3449,76.0,166438.0,1910,1,75,54.8,10.2,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,5,0,0,105.0,56.0,-73.986225,40.7433
3459,81.0,117370.0,1929,1,100,48.9,10.2,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,7329.2,5,0,0,111.0,255.0,-73.942917,40.819265
3461,83.0,157256.0,1912,1,85,61.0,7.8,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,9,0,0,105.0,74.0,-73.982977,40.74485
3462,86.0,285845.0,1927,1,90,52.9,8.6,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,3141.8,5,0,0,105.0,56.0,-73.987434,40.744478
3464,93.0,138354.0,1973,1,100,27.8,7.4,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,15.46212,6,0,0,111.0,255.0,-73.942903,40.819265
3467,60.0,920386.9700000044,1963,1,95,101.0,13.7,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,35897.8350000002,2,0,0,105.0,92.0,-73.975138,40.755564
3470,58.0,52650.0,1970,1,100,81.4,9.3,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,1609.1,8,0,0,111.0,255.0,-73.942589,40.819265
3484,91.0,920386.9700000044,1911,1,100,106.2,15.1,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,6,0,0,106.0,50.0,-73.988627,40.734163
3488,84.0,88683.0,1911,1,100,49.8,9.2,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,6,0,0,105.0,82.0,-73.980716,40.751723
3489,88.0,80521.0,1907,1,100,54.8,6.5,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,6,0,0,105.0,109.0,-73.991338,40.752965
3491,89.0,298082.0,1907,1,100,50.2,10.2,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,2945.7,4,0,0,105.0,68.0,-73.986045,40.74061
3517,62.0,916603.0,1962,1,95,79.6,12.1,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,15368.2,7,0,0,106.0,88.0,-73.975061,40.74991
3526,78.0,56968.0,1914,1,100,74.8,4.7,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,6184.1,6,1,0,111.0,251.0,-73.94049,40.819265
3577,71.0,81337.0,1921,1,90,81.5,18.2,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,1220.3,3,0,0,105.0,11202.0,-73.972183,40.762552
3586,75.0,197424.0,1913,1,80,50.8,8.1,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,2443.6,17,1,0,104.0,103.0,-73.997704,40.753099
3599,59.0,56000.0,1907,1,100,69.8,12.4,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,1091.4,5,0,0,105.0,74.0,-73.985596,40.747002
3651,64.0,281840.0,1923,1,100,73.3,14.9,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,7,0,0,105.0,113.0,-73.988482,40.755802
3670,61.0,135720.0,1980,1,100,76.5,21.3,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,7,0,0,108.0,10602.0,-73.960336,40.760561
3716,50.0,45850.0,1930,1,100,72.7,12.3,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,1769.6,3,0,0,105.0,96.0,-73.980747,40.75595
3736,77.0,327227.0,1900,1,100,54.1,9.6,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,4,0,0,102.0,43.0,-73.997633,40.724398
3741,77.0,920386.9700000044,1971,1,90,68.3,8.9,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,367.2,4,0,0,105.0,113.0,-73.987068,40.753716
