,score,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site_electricity_intensity_kwh_ft,green_power_offsite_kwh,egrid_output_emissions_rate_kgco2e_mbtu,percent_of_electricity_that_is_green_power,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_total,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,longitude,latitude,letters
12813,94.0,36934.0,1940.0,1,100.0,78.8,3.5,0.0,79.5,0.0,1.13716,0.0,42.0,1.13716,90.0,100.0,2562.5,10.0,0,0,-73.86286,40.856362,A
12814,98.0,51360.0,1925.0,1,100.0,63.7,3.6,0.0,79.5,0.0,0.97352,0.0,50.0,0.97352,90.0,100.0,3283.2,8.0,0,0,-73.876387,40.874204,A
12815,98.0,52623.0,1922.0,1,100.0,68.5,3.4,0.0,79.5,0.0,0.89315,0.0,47.0,0.89315,90.0,100.0,3961.2,14.0,0,0,-73.884943,40.869503,A
12816,60.0,39483.0,1931.0,1,100.0,82.5,3.7,0.0,79.5,0.0,0.93711,0.0,37.0,0.93711,90.0,100.0,3461.8,9.0,0,0,-73.927472,40.834647,C
12817,19.0,44656.0,1927.0,1,100.0,136.0,5.3,0.0,79.5,0.0,1.18685,0.0,53.0,1.18685,90.0,100.0,8839.0,2.0,0,0,-73.900691,40.85339,D
12820,86.0,27595.0,1909.19,1,100.0,93.6,4.4,0.0,79.5,0.0,0.86972,0.0,24.0,0.86972,90.0,100.0,4072.0,12.0,0,0,-73.901353,40.831436,A
12821,52.0,50866.0,1927.0,1,100.0,92.4,4.1,0.0,79.5,0.0,0.94366,0.0,48.0,0.94366,90.0,100.0,7715.4,10.0,0,0,-73.919677,40.829032,D
12840,100.0,30581.0,1928.0,1,100.0,22.0,4.6,0.0,79.5,0.0,0.981,0.0,30.0,0.981,90.0,100.0,2188.8,5.0,0,0,-73.884848,40.853353,A
12841,27.0,49219.0,1924.0,1,100.0,114.8,4.4,0.0,79.5,0.0,1.15809,0.0,57.0,1.15809,90.0,100.0,6353.2,18.0,0,0,-73.915668,40.838666,D
12842,12.0,49219.0,1942.0,1,100.0,123.5,6.0,0.0,79.5,0.0,1.07682,0.0,53.0,1.07682,90.0,100.0,8051.3,15.0,0,0,-73.915513,40.838608,D
12843,100.0,45903.0,1922.0,1,100.0,16.7,3.2,0.0,79.5,0.0,0.91497,0.0,42.0,0.91497,90.0,100.0,6415.4635607573155,9.0,0,0,-73.91262,40.853246,A
12855,50.0,39453.0,1928.0,1,100.0,86.5,5.0,0.0,79.5,0.0,0.96317,0.0,38.0,0.96317,90.0,100.0,5388.7,7.0,0,0,-73.917376,40.836982,D
12856,56.0,37249.0,1923.0,1,100.0,91.9,4.7,0.0,79.5,0.0,1.1007,0.0,41.0,1.1007,90.0,100.0,5084.9,9.0,0,0,-73.915428,40.836821,C
12857,50.0,38089.0,1926.0,1,100.0,92.4,5.3,0.0,79.5,0.0,1.18144,0.0,45.0,1.18144,90.0,100.0,4479.5,9.0,0,0,-73.895634,40.830756,D
12858,65.0,35475.0,1922.0,1,100.0,84.0,3.9,0.0,79.5,0.0,1.09937,0.0,39.0,1.09937,90.0,100.0,2127.0,8.0,0,0,-73.895404,40.868956,C
12859,65.0,59125.0,1924.0,1,100.0,84.7,4.4,0.0,79.5,0.0,1.0148,0.0,60.0,1.0148,90.0,100.0,9110.0,9.0,0,0,-73.922151,40.845634,C
12860,55.0,43200.0,1922.0,1,100.0,86.5,4.7,0.0,79.5,0.0,1.01852,0.0,44.0,1.01852,90.0,100.0,5846.8,7.0,0,0,-73.904832,40.849757,D
12861,13.0,48375.0,1922.0,1,100.0,123.8,4.7,0.0,79.5,0.0,1.15762,0.0,56.0,1.15762,90.0,100.0,2589.6,10.0,0,0,-73.893275,40.864239,D
12863,68.0,46550.0,1927.0,1,100.0,75.0,3.7,0.0,79.5,0.0,0.83781,0.0,39.0,0.83781,90.0,100.0,4026.1,7.0,0,0,-73.866155,40.87365,C
12864,61.0,42570.0,1926.0,1,100.0,77.4,4.4,0.0,79.5,0.0,0.93963,0.0,40.0,0.93963,90.0,100.0,5841.7,9.0,0,0,-73.918727,40.837479,C
12865,54.0,34020.0,1922.0,1,100.0,92.2,4.7,0.0,79.5,0.0,1.14638,0.0,39.0,1.14638,90.0,100.0,2625.1,8.0,0,0,-73.903477,40.864259,D
12866,5.0,32400.0,1921.0,1,100.0,153.3,5.3,0.0,79.5,0.0,1.14198,0.0,37.0,1.14198,90.0,100.0,6415.4635607573155,8.0,0,0,-73.903354,40.86419,D
12875,100.0,46494.0,1929.0,1,100.0,24.1,4.9,0.0,79.5,0.0,0.92485,0.0,43.0,0.92485,90.0,100.0,4142.8,8.0,0,0,-73.82910461,40.846079,A
12881,100.0,52430.0,1927.0,1,100.0,17.1,3.3,0.0,79.5,0.0,0.85829,0.0,45.0,0.85829,90.0,100.0,4696.3,7.0,0,0,-73.897109,40.879426,A
12891,100.0,42957.0,1926.0,1,100.0,18.0,4.1,0.0,79.5,0.0,1.09412,0.0,47.0,1.09412,90.0,100.0,4944.2,17.0,0,0,-73.905414,40.879935,A
12892,100.0,27090.0,1937.0,1,100.0,18.5,4.4,0.0,79.5,0.0,0.92285,0.0,25.0,0.92285,90.0,100.0,1470.4,6.0,0,0,-73.88172,40.878547,A
12893,31.0,39111.0,1929.0,1,100.0,83.8,4.2,0.0,79.5,0.0,0.69034,0.0,27.0,0.69034,90.0,100.0,6415.4635607573155,7.0,0,0,-73.915904,40.855208,D
12894,33.0,45785.0,1923.0,1,100.0,103.1,4.2,0.0,79.5,0.0,1.1139,0.0,51.0,1.1139,90.0,100.0,5892.4,11.0,0,0,-73.90208,40.865471,D
12913,68.0,38425.0,2013.0,1,100.0,66.0,6.3,0.0,79.5,0.0,1.09304,0.0,42.0,1.09304,90.0,100.0,2654.2,5.0,0,0,-73.885696,40.835478,C
12914,45.0,34930.0,2007.0,1,100.0,77.8,5.6,0.0,79.5,0.0,0.83023,0.83023,0.0,0.0,90.0,100.0,2687.7,5.0,0,0,-73.904557,40.849702,D
12915,22.0,51974.0,2008.0,1,100.0,104.2,7.4,0.0,79.5,0.0,1.11594,0.0,58.0,1.11594,90.0,100.0,6415.4635607573155,5.0,0,0,-73.907349,40.815274,D
12949,69.0,38313.0,1922.0,1,100.0,71.3,4.6,0.0,79.5,0.0,1.09623,0.0,42.0,1.09623,90.0,100.0,2860.6,5.0,0,0,-73.919613,40.834233,C
12950,46.0,38135.0,1922.0,1,100.0,88.6,4.7,0.0,79.5,0.0,0.83912,0.0,32.0,0.83912,90.0,100.0,2765.9,5.0,0,0,-73.919537,40.834208,D
12963,96.0,33571.0,1920.0,1,100.0,45.9,4.8,0.0,79.5,0.0,1.10214,0.0,37.0,1.10214,90.0,100.0,4773.2,8.0,0,0,-73.899358,40.860525,A
12964,25.0,29880.0,1917.0,1,100.0,121.1,5.5,0.0,79.5,0.0,1.20482,0.0,36.0,1.20482,90.0,100.0,4204.8,9.0,0,0,-73.898926,40.861282,D
12965,71.0,47857.0,1923.0,1,100.0,78.7,3.1,0.0,79.5,0.0,1.02388,0.0,49.0,1.02388,90.0,100.0,6457.9,2.0,0,0,-73.889009,40.865947,B
12966,68.0,37937.0,1925.0,1,100.0,83.6,3.2,0.0,79.5,0.0,1.00166,0.0,38.0,1.00166,90.0,100.0,2472.4,8.0,0,0,-73.881709,40.880314,C
12976,41.0,49120.0,1939.0,1,100.0,89.4,5.1,0.0,79.5,0.0,1.05863,0.0,52.0,1.05863,90.0,100.0,6415.4635607573155,9.0,0,0,-73.920669,40.830567,D
12977,54.0,48762.0,1941.0,1,100.0,82.5,4.2,0.0,79.5,0.0,1.0664,0.0,52.0,1.0664,90.0,100.0,4320.0,8.0,0,0,-73.917022,40.833581,D
13003,30.0,48353.0,1925.0,1,100.0,96.9,5.2,0.0,79.5,0.0,0.9927,0.0,48.0,0.9927,90.0,100.0,5015.2,8.0,0,0,-73.924175,40.836163,D
13004,9.0,37236.0,1929.0,1,100.0,111.3,3.3,0.0,79.5,0.0,1.02052,0.0,0.0,0.0,90.0,100.0,2777.7,7.0,0,0,-73.874853,40.830482,D
13005,65.0,52477.0,1927.0,1,100.0,83.2,2.8,0.0,79.5,0.0,1.08619,0.0,57.0,1.08619,90.0,100.0,4476.3,14.0,0,0,-73.844816,40.840231,C
13007,4.0,51146.0,1930.0,1,100.0,152.5,7.9,0.0,79.5,0.0,0.86028,0.0,44.0,0.86028,90.0,100.0,6415.4635607573155,5.0,0,0,-73.915359,40.854406,D
13010,39.0,53500.0,1926.0,1,100.0,96.2,4.2,0.0,79.5,0.0,0.95327,0.0,51.0,0.95327,90.0,100.0,5774.5,11.0,0,0,-73.902194,40.859367,D
13011,7.0,27820.0,1912.0,1,100.0,105.6,6.2,0.0,79.5,0.0,0.93458,0.0,0.0,0.0,90.0,100.0,6415.4635607573155,11.0,0,0,-73.904097,40.850316,D
13013,53.0,28355.0,1921.0,1,100.0,94.2,4.6,0.0,79.5,0.0,0.88168,0.0,25.0,0.88168,90.0,100.0,2913.0,9.0,0,0,-73.901533,40.863703,D
13016,2.0,35888.0,1922.0,1,100.0,139.6,9.9,0.0,79.5,0.0,1.22604,0.0,44.0,1.22604,90.0,100.0,6415.4635607573155,13.0,0,0,-73.896515,40.863284,D
13017,47.0,45197.0,1930.0,1,100.0,107.0,4.7,0.0,79.5,0.0,1.5709,0.0,71.0,1.5709,90.0,100.0,6415.4635607573155,8.0,0,0,-73.90646,40.87157,D
13019,10.0,49755.0,1931.0,1,100.0,106.2,7.2,0.0,79.5,0.0,0.96473,0.0,48.0,0.96473,90.0,100.0,6766.1,13.0,0,0,-73.918822,40.818766,D
13036,100.0,48150.0,1926.0,1,100.0,30.8,4.6,0.0,79.5,0.0,1.22534,0.0,59.0,1.22534,90.0,100.0,6415.4635607573155,19.0,0,0,-73.889234,40.852331,A
13037,100.0,34748.0,1917.0,1,100.0,18.2,3.9,0.0,79.5,0.0,0.86336,0.0,30.0,0.86336,90.0,100.0,2147.3,10.0,0,0,-73.89995,40.884882,A
13038,26.0,40310.0,1940.0,1,100.0,86.1,5.8,0.0,79.5,0.0,0.89308,0.0,36.0,0.89308,90.0,100.0,3409.6,8.0,0,0,-73.8925,40.86241,D
13039,30.0,50554.0,1926.0,1,100.0,108.6,3.8,0.0,79.5,0.0,1.16707,0.0,59.0,1.16707,90.0,100.0,6093.6,7.0,0,0,-73.878705,40.874138,D
13040,61.0,41516.0,1940.0,1,100.0,76.1,3.2,0.0,79.5,0.0,0.89122,0.0,37.0,0.89122,90.0,100.0,4996.2,8.0,0,0,-73.883728,40.881719,C
13041,58.0,38781.0,1927.0,1,100.0,48.5,7.6,0.0,79.5,0.0,0.79936,0.0,31.0,0.79936,90.0,100.0,6415.4635607573155,14.0,0,0,-73.880114,40.882689,C
13054,13.0,32809.0,1927.0,1,100.0,118.1,3.5,0.0,79.5,0.0,0.91438,0.0,30.0,0.91438,90.0,100.0,6149.4,8.0,0,0,-73.900347,40.851444,D
13055,33.0,38130.0,1915.0,1,100.0,114.5,4.6,0.0,79.5,0.0,1.2064,0.0,46.0,1.2064,90.0,100.0,5452.7,7.0,0,0,-73.913119,40.831481,D
13056,25.0,41730.0,1930.0,1,100.0,109.6,4.8,0.0,79.5,0.0,1.00647,0.0,42.0,1.00647,90.0,100.0,3164.5,8.0,0,0,-73.906811,40.843163,D
13057,28.0,36550.0,1914.0,1,100.0,133.7,5.4,0.0,79.5,0.0,0.90287,0.0,33.0,0.90287,90.0,100.0,4754.2,6.0,0,0,-73.904117,40.851785,D
13059,46.0,46614.0,1929.0,1,100.0,95.6,4.2,0.0,79.5,0.0,0.79375,0.0,37.0,0.79375,90.0,100.0,5113.2,9.0,0,0,-73.907228,40.86023,D
13061,21.0,34330.0,1923.0,1,100.0,125.2,4.7,0.0,79.5,0.0,1.1069,0.0,38.0,1.1069,90.0,100.0,4814.6,7.0,0,0,-73.901016,40.861257,D
13063,31.0,37625.0,1924.0,1,100.0,105.9,5.6,0.0,79.5,0.0,1.00997,0.0,38.0,1.00997,90.0,100.0,5867.8,9.0,0,0,-73.906451,40.84467,D
13064,28.0,45261.0,1936.0,1,100.0,103.7,3.5,0.0,79.5,0.0,0.95005,0.0,43.0,0.95005,90.0,100.0,5761.0,10.0,0,0,-73.878839,40.872028,D
13072,100.0,52216.0,1928.0,1,100.0,17.3,3.7,0.0,79.5,0.0,1.03417,0.0,54.0,1.03417,90.0,100.0,6415.4635607573155,9.0,0,0,-73.866303,40.86631,A
13106,42.0,79715.0,1961.0,1,100.0,82.6,3.3,0.0,79.5,0.0,0.77777,0.0,62.0,0.77777,90.0,100.0,4184.3,5.0,0,0,-73.853714,40.853296,D
13131,63.0,37844.0,1997.0,1,100.0,75.1,6.4,0.0,79.5,0.0,1.34764,0.0,51.0,1.34764,90.0,100.0,1700.3,4.0,0,0,-73.860689,40.8870975,C
13132,40.0,44807.0,2000.0,1,100.0,94.6,5.1,0.0,79.5,0.0,1.22749,0.0,55.0,1.22749,90.0,100.0,6415.4635607573155,5.0,0,0,-73.859536,40.8870975,D
13145,10.0,32100.0,1933.0,1,100.0,135.9,5.5,0.0,79.5,0.0,1.33956,0.0,43.0,1.33956,90.0,100.0,6415.4635607573155,7.0,0,0,-73.894052,40.834973,D
13146,7.0,35952.0,1920.0,1,100.0,126.1,5.4,0.0,79.5,0.0,1.00134,0.0,36.0,1.00134,90.0,100.0,4651.4,9.0,0,0,-73.90592,40.865243,D
13156,100.0,29425.0,1924.0,1,100.0,18.2,3.5,0.0,79.5,0.0,1.01954,0.0,30.0,1.01954,90.0,100.0,6415.4635607573155,7.0,0,0,-73.86009,40.8870975,A
13160,38.0,45849.0,1938.0,1,100.0,103.1,4.1,0.0,79.5,0.0,0.93786,0.0,43.0,0.93786,90.0,100.0,4669.3,8.0,0,0,-73.876983,40.83921,D
13161,15.0,38055.0,1927.0,1,100.0,127.8,6.1,0.0,79.5,0.0,1.28761,0.0,49.0,1.28761,90.0,100.0,5455.5,8.0,0,0,-73.907642,40.848724,D
13163,25.0,34400.0,1941.0,1,100.0,109.0,5.2,0.0,79.5,0.0,1.07558,0.0,37.0,1.07558,90.0,100.0,4875.1,7.0,0,0,-73.90831,40.84657,D
13165,41.0,39506.0,1931.0,1,100.0,89.7,4.4,0.0,79.5,0.0,1.06313,0.0,42.0,1.06313,90.0,100.0,4989.8,7.0,0,0,-73.901544,40.863722,D
13166,35.0,51359.0,1938.0,1,100.0,91.7,4.5,0.0,79.5,0.0,0.95407,0.0,49.0,0.95407,90.0,100.0,4295.3,8.0,0,0,-73.895204,40.864998,D
13168,25.0,49020.0,1929.0,1,100.0,103.7,4.6,0.0,79.5,0.0,0.99959,0.0,49.0,0.99959,90.0,100.0,10581.7,9.0,0,0,-73.86348,40.866395,D
13169,40.0,47478.0,1940.0,1,100.0,96.3,4.7,0.0,79.5,0.0,1.05312,0.0,50.0,1.05312,90.0,100.0,4930.2,7.0,0,0,-73.874294,40.879373,D
13170,25.0,31237.0,1927.0,1,100.0,110.8,5.7,0.0,79.5,0.0,1.34456,0.0,42.0,1.34456,90.0,100.0,4140.7,7.0,0,0,-73.898551,40.863044,D
13171,100.0,52245.0,1942.0,1,100.0,27.5,4.7,0.0,79.5,0.0,1.03359,0.0,54.0,1.03359,90.0,100.0,5455.8,8.0,0,0,-73.898255,40.862934,A
13172,64.0,42867.0,1941.0,1,100.0,64.4,6.4,0.0,79.5,0.0,1.11974,0.0,48.0,1.11974,90.0,100.0,14453.1,12.0,0,0,-73.846504,40.8870975,C
13176,3.0,28248.0,1909.19,1,100.0,131.4,8.1,0.0,79.5,0.0,1.09742,0.0,31.0,1.09742,90.0,100.0,4989.2,9.0,0,0,-73.889252,40.852337,D
13198,68.0,44304.0,1924.0,1,100.0,85.2,4.3,0.0,79.5,0.0,0.83514,0.0,37.0,0.83514,71.80354893328818,94.88406218655967,6415.4635607573155,9.0,4,0,-73.886787,40.835367,C
13199,53.0,45430.0,1909.19,1,100.0,99.6,4.8,0.0,79.5,0.0,0.94651,0.0,43.0,0.94651,71.80354893328818,94.88406218655967,4801.1,10.0,4,0,-73.893059,40.820672,D
13200,70.0,42003.0,1924.0,1,100.0,82.4,5.1,0.0,79.5,0.0,0.88089,0.0,37.0,0.88089,71.80354893328818,94.88406218655967,2441.6,10.0,5,0,-73.886544,40.835773,C
13202,54.0,39814.0,1922.0,2,100.0,97.5,5.3,0.0,79.5,0.0,0.7535,0.0,30.0,0.7535,71.80354893328818,94.88406218655967,4851.4,10.0,5,0,-73.89404,40.819707,D
13203,64.0,42263.0,1924.0,1,100.0,85.0,4.0,0.0,79.5,0.0,0.87547,0.0,37.0,0.87547,71.80354893328818,94.88406218655967,3088.6,9.0,4,0,-73.887498,40.835952,C
13204,58.0,33846.0,1924.0,1,100.0,87.7,3.4,0.0,79.5,0.0,0.85682,0.0,29.0,0.85682,71.80354893328818,94.88406218655967,6415.4635607573155,9.0,4,0,-73.91808,40.846246,C
13205,82.0,45067.0,1924.0,1,100.0,72.7,3.6,0.0,79.5,0.0,0.84319,0.0,38.0,0.84319,71.80354893328818,94.88406218655967,3627.3,9.0,4,0,-73.885431,40.835955,B
