,score,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,weather_normalized_site_electricity_intensity_kwh_ft,weather_normalized_site_natural_gas_intensity_therms_ft,weather_normalized_site_electricity_kwh,direct_ghg_emissions_metric_tons_co2e,total_ghg_emissions_intensity_kgco2e_ft,direct_ghg_emissions_intensity_kgco2e_ft,egrid_output_emissions_rate_kgco2e_mbtu,avoided_emissions_offsite_green_power_metric_tons_co2e,percent_of_electricity_that_is_green_power,multifamily_housing_number_of_bedrooms_density_number_per_1_000_sq_ft,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_used_to_compute_metrics,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude
2038,19,63090.0,1937.0,1,100,5.6,1.0,353084.4,318.4,6.6,5.0,79.5,0.0,0.0,1.56919,0.96687,0.0,61.0,0.96687,0.0,100.0,8272.0,8.0,0,0,205.0,23501.0,-73.906172,40.850746
2043,45,107490.0,1927.0,1,100,4.2,0.7,453829.5,360.5,4.6,3.4,79.5,0.0,0.0,0.93032,0.61401,0.0,66.0,0.61401,0.0,100.0,13661.4,9.0,0,0,204.0,195.0,-73.922929,40.829185
2044,28,59290.0,1922.0,1,100,4.3,1.0,255295.0,302.6,6.3,5.1,79.5,0.0,0.0,1.51796,0.97824,0.0,58.0,0.97824,0.0,100.0,9394.8,15.0,0,0,204.0,197.0,-73.918858,40.833302
2045,13,53366.0,1926.0,1,100,5.4,1.1,286746.1,304.5,7.2,5.7,79.5,0.0,0.0,1.34917,1.23674,0.0,66.0,1.23674,0.0,100.0,12688.6,8.0,0,0,204.0,199.0,-73.923306,40.836846
2046,34,63790.0,1940.0,1,100,6.6,0.6,418198.0,203.9,5.0,3.2,79.5,0.0,0.0,1.22276,0.8622,0.0,55.0,0.8622,0.0,100.0,7217.2,8.0,0,0,204.0,225.0,-73.911081,40.842019
2057,16,53349.0,1962.0,1,100,7.3,1.2,392023.8,308.5,7.8,5.8,79.5,0.0,0.0,1.93068,1.53705,0.0,82.0,1.53705,0.0,100.0,841.9,4.0,0,0,208.0,273.0,-73.904492,40.872853
2058,34,78110.0,1927.0,1,100,3.7,1.0,289208.0,363.6,5.7,4.7,79.5,0.0,0.0,1.21623,0.90897,0.0,71.0,0.90897,0.0,100.0,6928.5,9.0,0,0,207.0,419.0,-73.880396,40.87462
2059,36,420055.1124,1965.0,1,100,4.3,1.0,2258430.2566799996,1512.693959999999,6.0,4.8,79.5,0.0,0.0,1.65673,0.86528,0.86528,0.0,0.0,0.0,100.0,28492.038679999983,15.0,0,0,209.0,42.0,-73.860891,40.824735
2061,63,234480.0,1965.0,1,100,6.1,0.7,1429114.1,777.9,5.0,3.3,79.5,0.0,0.0,2.11105,1.09604,1.09604,0.0,0.0,0.0,100.0,28492.038679999983,9.0,0,0,211.0,33201.0,-73.868544,40.859569
2062,79,102399.0,1965.0,1,100,5.0,0.5,515329.8,263.3,4.0,2.6,79.5,0.0,0.0,1.62111,0.81055,0.81055,0.0,0.0,0.0,100.0,9049.2,5.0,0,0,211.0,33202.0,-73.868459,40.862179
2063,33,88940.0,1964.0,1,100,6.0,0.7,535165.2,291.6,4.9,3.3,79.5,0.0,0.0,0.9557,0.79829,0.0,71.0,0.79829,0.0,100.0,6062.6,6.0,0,0,212.0,444.0,-73.845657,40.88786849
2064,62,153900.0,1927.0,1,100,3.9,0.7,603411.4,504.4,4.4,3.3,79.5,0.0,0.0,1.1306,0.76023,0.0,117.0,0.76023,0.0,100.0,13216.6,9.0,0,0,208.0,287.0,-73.903787,40.882648
2065,29,137495.0,1962.0,1,100,4.3,1.1,584772.5,726.3,6.5,5.3,79.5,0.0,0.0,1.7237,0.9964,0.9964,0.0,0.0,0.0,100.0,4594.425778134381,5.0,0,0,208.0,287.0,-73.903711,40.882723
2066,100,73771.0,1964.0,1,100,4.6,0.0,336185.8,14.9,1.5,0.2,79.5,0.0,0.0,1.57243,0.74555,0.74555,0.0,0.0,0.0,100.0,4594.425778134381,5.0,0,0,208.0,287.0,-73.903729,40.882731
2105,65,216875.0,1927.0,1,100,3.4,0.8,740875.6,794.0,4.6,3.7,79.5,0.0,0.0,1.32795,0.79769,0.0,173.0,0.79769,0.0,100.0,4594.425778134381,29.29159999999996,0,0,211.0,22404.0,-73.865867,40.851648
2110,54,54000.0,1928.0,1,100,5.1,0.7,276085.3,186.9,4.9,3.5,79.5,0.0,0.0,1.51852,1.0,0.0,54.0,1.0,0.0,100.0,4437.9,10.0,0,0,210.0,26602.0,-73.82901706000001,40.845076
2154,94,60890.0,1931.0,1,100,5.3,0.3,322585.9,94.4,3.0,1.6,79.5,0.0,0.0,1.46165,1.18246,0.0,72.0,1.18246,0.0,100.0,8834.5,5.0,0,0,206.0,393.0,-73.881892,40.852612
2179,39,100000.0,1939.0,1,100,5.7,0.7,571064.4,354.3,5.1,3.5,79.5,0.0,0.0,1.21,1.0,1.0,0.0,0.0,0.0,100.0,9606.1,8.0,0,0,204.0,63.0,-73.925483,40.826607
2189,65,52754.0,1928.0,1,100,3.9,0.7,205453.5,177.3,4.5,3.4,79.5,0.0,0.0,1.25109,0.92884,0.0,49.0,0.92884,100.0,100.0,3757.5,9.0,0,0,209.0,5002.0,-73.880881,40.827771
2190,57,158399.0,2006.0,1,100,5.5,0.6,918058.9,501.1,4.5,3.0,79.5,0.0,0.0,1.23738,0.87122,0.0,138.0,0.87122,73.35970197368421,95.78447655077947,15727.0,10.0,0,0,203.0,125.0,-73.891897,40.828949
2191,32,171034.0,1928.0,1,100,4.2,0.9,712843.8,776.5,5.7,4.5,79.5,0.0,0.0,1.23367,0.91795,0.0,157.0,0.91795,50.0,100.0,19803.2,10.0,0,0,204.0,197.0,-73.918837,40.835879
2192,68,71840.0,1926.0,1,100,3.8,0.7,272616.5,250.2,4.5,3.5,79.5,0.0,0.0,1.32238,1.07183,0.0,77.0,1.07183,73.35970197368421,95.78447655077947,5548.3,9.0,0,0,204.0,22101.0,-73.918334,40.836551
2193,4,50200.0,1925.0,1,100,8.5,1.2,470163.0,329.3,8.3,5.9,79.5,0.0,0.0,1.63347,1.1753,0.0,59.0,1.1753,50.0,100.0,10311.5,6.0,0,0,204.0,17902.0,-73.914551,40.836252
2194,54,52730.0,1926.0,1,100,4.1,0.8,217037.1,216.5,5.3,4.1,79.5,0.0,0.0,1.61199,1.04305,0.0,55.0,1.04305,100.0,100.0,5689.3,7.0,0,0,204.0,17902.0,-73.914167,40.836645
2195,12,75104.0,1941.0,1,100,6.6,1.0,498047.4,359.3,6.6,4.8,79.5,0.0,0.0,1.37143,0.93204,0.0,70.0,0.93204,100.0,100.0,9815.4,19.0,0,0,204.0,225.0,-73.910458,40.837759
2196,13,66554.0,1941.0,1,100,7.8,0.8,517709.5,275.9,6.3,4.1,79.5,0.0,0.0,1.35228,0.9466,0.0,63.0,0.9466,100.0,100.0,4594.425778134381,16.0,0,0,204.0,225.0,-73.911184,40.838196
2197,43,58885.0,1923.0,1,100,5.1,0.9,297929.9,262.5,5.9,4.5,79.5,0.0,0.0,1.90201,1.00195,0.0,59.0,1.00195,100.0,100.0,7883.0,8.0,0,0,204.0,223.0,-73.916562,40.840212
2198,71,56832.0,1926.0,1,100,3.1,0.1,177903.2,286.4,5.9,5.0,79.5,0.0,0.0,1.30208,0.95017,0.0,54.0,0.95017,100.0,100.0,4373.1,9.0,0,0,204.0,223.0,-73.915871,40.841186
2199,100,87146.0,1927.0,1,100,4.7,0.2,405976.1,95.1,2.4,1.1,79.5,0.0,0.0,1.9737,0.99832,0.0,87.0,0.99832,100.0,100.0,10237.1,5.0,0,0,205.0,21502.0,-73.914813,40.848969
2200,45,81826.0,1927.0,1,100,5.7,0.7,486784.0,315.7,5.3,3.7,79.5,0.0,0.0,1.66206,1.03879,0.0,85.0,1.03879,100.0,100.0,9894.4,5.0,0,0,205.0,21502.0,-73.914646,40.849218
2201,68,66332.0,1929.0,1,100,4.7,0.5,309006.8,170.6,3.9,2.6,79.5,0.0,0.0,0.96484,0.87439,0.0,58.0,0.87439,100.0,100.0,5054.7,12.0,0,0,209.0,72.0,-73.858906,40.832358
2202,80,77990.0,1921.0,1,100,3.4,0.6,265507.2,258.6,4.3,3.3,79.5,0.0,0.0,1.5643,0.8078,0.0,63.0,0.8078,100.0,100.0,4594.425778134381,5.0,0,0,205.0,24502.0,-73.910742,40.855322
2204,12,68570.0,1922.0,1,100,7.8,0.9,532761.0,311.7,6.7,4.5,79.5,0.0,0.0,1.4292,1.06461,0.0,73.0,1.06461,100.0,100.0,7392.1,19.0,0,0,207.0,265.0,-73.901957,40.863146
2205,17,60290.0,1926.0,1,100,7.5,0.2,454806.5,355.0,8.0,5.9,79.5,0.0,0.0,1.4762,1.17764,0.0,71.0,1.17764,100.0,100.0,5506.0,20.0,0,0,207.0,431.0,-73.879204,40.881912
2207,65,51990.0,1930.0,1,100,3.2,0.1,165890.1,274.1,6.2,5.3,79.5,0.0,0.0,1.25024,0.80785,0.0,42.0,0.80785,100.0,100.0,3289.9,11.0,0,0,207.0,431.0,-73.878333,40.883692
2209,62,75914.0,1925.0,1,100,4.7,0.6,359668.6,251.3,4.6,3.3,79.5,0.0,0.0,1.43584,1.01431,0.0,77.0,1.01431,100.0,100.0,4594.425778134381,17.0,0,0,201.0,31.0,-73.906435,40.812345
2211,27,76610.0,1937.0,1,100,5.9,1.0,450299.0,361.6,6.3,4.7,79.5,0.0,0.0,1.35752,1.34447,0.0,103.0,1.34447,100.0,100.0,8914.0,11.0,0,0,201.0,73.0,-73.909405,40.815122
2212,69,69622.0,1910.0,1,100,4.1,0.7,311418.9,266.1,4.6,3.5,79.5,0.0,0.0,1.49378,1.01979,0.0,71.0,1.01979,100.0,100.0,4594.425778134381,26.0,0,0,202.0,87.0,-73.898886,40.81875
2216,27,67800.0,1929.0,1,100,6.4,0.8,435448.5,270.9,5.8,4.0,79.5,0.0,0.0,1.47493,0.9882,0.0,67.0,0.9882,0.0,100.0,4594.425778134381,7.0,0,0,209.0,5002.0,-73.877675,40.826294
