,score,largest_property_use_type_1,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site,green_power_offsite_kwh,egrid_output_emissions_rate,avoided_emissions_offsite,avoided_emissions_onsite_1,percent_of_electricity_that,multifamily_housing_total_1,multifamily_housing_number_5,multifamily_housing_number_6,multifamily_housing_number_7,multifamily_housing_percent,water_use_all_water_sources,community_board,census_tract,latitude,longitude
20165,42.0,46690.0,1932,1,100.0,108.5,4.9,0.0,84.7,0.0,0.0,0.0,1.22082,0.0,57.0,1.22082,50.0,5148.8,209.0,31.0,40.814739,-73.865255
20166,44.0,46690.0,1932,1,100.0,111.7,4.6,0.0,84.7,0.0,0.0,0.0,1.28507,0.0,60.0,1.28507,50.0,5045.6,209.0,31.0,40.814915,-73.865294
20167,44.0,46690.0,1932,1,100.0,111.7,4.6,0.0,84.7,0.0,0.0,0.0,1.28507,0.0,60.0,1.28507,50.0,5045.6,209.0,31.0,40.814915,-73.865294
20168,72.0,46690.0,1932,1,100.0,88.3,4.5,0.0,84.7,0.0,0.0,0.0,1.30649,0.0,61.0,1.30649,50.0,4421.7,209.0,31.0,40.815303,-73.864415
20169,72.0,46690.0,1932,1,100.0,88.3,4.5,0.0,84.7,0.0,0.0,0.0,1.30649,0.0,61.0,1.30649,50.0,4421.7,209.0,31.0,40.815303,-73.864415
20170,51.0,46690.0,1932,1,100.0,102.0,5.2,0.0,84.7,0.0,0.0,0.0,1.28507,0.0,60.0,1.28507,50.0,5059.8,209.0,31.0,40.815545,-73.864473
20171,51.0,46690.0,1932,1,100.0,102.0,5.2,0.0,84.7,0.0,0.0,0.0,1.28507,0.0,60.0,1.28507,50.0,5059.8,209.0,31.0,40.815545,-73.864473
20172,56.0,46690.0,1932,1,100.0,100.9,4.7,0.0,84.7,0.0,0.0,0.0,1.28507,0.0,60.0,1.28507,50.0,5243.8,209.0,31.0,40.815274,-73.86538
20173,56.0,46690.0,1932,1,100.0,100.9,4.7,0.0,84.7,0.0,0.0,0.0,1.28507,0.0,60.0,1.28507,50.0,5243.8,209.0,31.0,40.815274,-73.86538
20174,52.0,49468.0,1932,1,100.0,87.1,7.0,0.0,84.7,0.0,0.0,0.0,1.19269,0.0,59.0,1.19269,50.0,5942.8252124221,209.0,31.0,40.815696,-73.864508
20175,52.0,49468.0,1932,1,100.0,87.1,7.0,0.0,84.7,0.0,0.0,0.0,1.19269,0.0,59.0,1.19269,50.0,5942.8252124221,209.0,31.0,40.815696,-73.864508
20176,46.0,46690.0,1932,1,100.0,103.3,5.5,0.0,84.7,0.0,0.0,0.0,1.24224,0.0,58.0,1.24224,50.0,5043.4,209.0,31.0,40.815447,-73.865419
20177,46.0,46690.0,1932,1,100.0,103.3,5.5,0.0,84.7,0.0,0.0,0.0,1.24224,0.0,58.0,1.24224,50.0,5043.4,209.0,31.0,40.815447,-73.865419
20178,41.0,67884.0,1983,1,100.0,117.4,5.1,0.0,84.7,0.0,0.0,0.0,1.06063,0.0,72.0,1.06063,100.0,5942.8252124221,204.0,199.0,40.836389,-73.925439
