,score,property_id,year_built,number_of_buildings,occupancy,weather_normalized_site_electricity_intensity_kwh_ft,weather_normalized_site_natural_gas_intensity_therms_ft,electricity_use_grid_purchase_and_generated_from_onsite_renewable_systems_kwh,total_ghg_emissions_intensity_kgco2e_ft,direct_ghg_emissions_intensity_kgco2e_ft,egrid_output_emissions_rate_kgco2e_mbtu,avoided_emissions_offsite_green_power_metric_tons_co2e,percent_of_electricity_that_is_green_power,multifamily_housing_number_of_bedrooms_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_10_or_more_stories,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_used_to_compute_metrics,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude
3486,51,2737195.0,1964.0,1,100,3.8,0.8,360002.5,5.0,4.0,79.5,0.0,0.0,1.28949,0.0,0.80593,0.0,75.0,0.80593,0.0,80.0,4594.425778134381,10.0,0,0,208.0,295.0,-73.912213,40.879943
3488,87,2737236.0,1934.0,1,100,3.3,0.7,440160.7,4.0,3.1,79.5,0.0,0.0,1.57976,86.0,0.65951,0.65951,0.0,0.0,0.0,100.0,4594.425778134381,8.0,0,0,208.0,301.0,-73.9161,40.882699
3489,56,2737305.0,1941.0,1,100,4.8,0.7,621779.7,4.9,3.6,79.5,0.0,0.0,1.49423,119.0,0.95087,0.95087,0.0,0.0,0.0,100.0,5785.8,19.0,0,0,208.0,295.0,-73.910245,40.88065
3490,87,2737410.0,1957.0,1,100,2.9,0.6,265003.8,3.9,3.1,79.5,0.0,0.0,1.41291,0.0,0.90426,0.0,80.0,0.90426,0.0,80.0,3191.9,7.0,0,0,208.0,297.0,-73.911488,40.884098
3491,72,2737433.0,1958.0,1,100,3.5,0.7,298044.8,4.3,3.3,79.5,0.0,0.0,1.7,0.0,0.85,0.0,34.0,0.425,100.0,100.0,3317.6,5.0,0,0,208.0,297.0,-73.912362,40.884511
3493,73,2737802.0,1928.0,1,100,2.7,0.8,400565.1,4.4,3.7,79.5,0.0,0.0,1.30405,0.0,0.69595,0.0,103.0,0.69595,0.0,100.0,4594.425778134381,29.0,0,0,207.0,421.0,-73.877961,40.879594
3505,28,2738369.0,1963.0,1,100,4.9,0.9,1240501.0,6.4,5.0,79.5,0.0,0.0,1.41926,185.0,0.72934,0.72934,0.0,0.0,100.0,100.0,9683.5,6.0,0,0,208.0,309.0,-73.91575,40.887821
3506,94,2738511.0,1940.0,1,100,2.7,0.5,332264.5,3.3,2.5,79.5,0.0,0.0,1.29426,91.0,0.76979,0.76979,0.0,0.0,0.0,100.0,4594.425778134381,9.0,0,0,208.0,295.0,-73.905622,40.886605
3510,58,2738951.0,1964.0,1,100,4.8,0.7,279304.4,4.8,3.5,79.5,0.0,0.0,1.35865,0.0,1.11479,0.0,64.0,1.11479,0.0,100.0,2835.1,6.0,0,0,208.0,351.0,-73.898479,40.88786849
3512,45,2739104.0,1963.0,1,100,5.6,0.7,1427704.0,5.0,3.4,79.5,0.0,0.0,1.33603,196.0,0.79352,0.79352,0.0,0.0,100.0,100.0,4594.425778134381,4.0,0,0,208.0,309.0,-73.913036,40.88786849
3517,43,2739215.0,1970.0,1,100,4.3,0.8,377348.1,5.0,3.8,79.5,0.0,0.0,1.10686,73.0,0.85958,0.85958,0.0,0.0,0.0,100.0,4647.4,5.0,0,0,208.0,30701.0,-73.912986,40.88786849
3520,76,2740215.0,1963.0,1,100,3.8,0.7,455468.5,4.2,3.2,79.5,0.0,0.0,1.44565,0.0,0.8844,0.0,104.0,0.8844,0.0,80.0,4202.9,5.0,0,0,208.0,309.0,-73.912883,40.88786849
3521,58,2740228.0,1940.0,1,100,4.6,0.1,1653817.0,4.2,0.3,79.5,0.0,0.0,1.508,0.0,1.00341,0.0,190.0,1.00341,60.0,80.0,4594.425778134381,24.0,0,0,209.0,21001.0,-73.856884,40.840178
3523,58,2740247.0,1940.0,1,100,5.0,0.0,1022545.0,4.0,0.2,79.5,0.0,0.0,1.61597,0.0,1.02692,0.0,190.0,1.02692,60.0,80.0,4594.425778134381,14.0,0,0,209.0,21001.0,-73.855929,40.842169
3524,69,2740249.0,1940.0,1,100,5.2,0.0,1175559.0,5.2,0.2,79.5,0.0,0.0,1.50156,0.0,1.48369,0.0,190.0,1.48369,60.0,80.0,4594.425778134381,11.0,0,0,209.0,21001.0,-73.854486,40.840982
3525,81,2740253.0,1940.0,1,100,3.7,0.0,1135593.0,4.5,0.2,79.5,0.0,0.0,1.63692,299.0,1.00707,1.00707,0.0,0.0,60.0,80.0,4594.425778134381,15.0,0,0,209.0,21001.0,-73.857725,40.84196
3527,95,2740271.0,1940.0,1,100,3.3,0.0,441959.3,3.5,0.2,79.5,0.0,0.0,1.56968,0.0,0.97533,0.0,128.0,0.97533,60.0,80.0,4594.425778134381,7.0,0,0,209.0,21001.0,-73.854468,40.840987
3529,85,2740394.0,1958.0,1,100,3.5,0.7,400818.7,4.4,3.4,79.5,0.0,0.0,2.32588,0.0,1.16294,0.0,67.0,0.61352,90.0,90.0,3938.5,5.0,0,0,212.0,42902.0,-73.862761,40.88786849
3530,73,2740440.0,1965.0,1,100,3.8,0.0,478453.4,5.4,4.3,79.5,0.0,0.0,1.17696,107.0,0.88066,0.88066,0.0,0.0,0.0,100.0,6598.4,5.0,0,0,208.0,345.0,-73.899617,40.88786849
