,score,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,weather_normalized_site_electricity_intensity_kwh_ft,weather_normalized_site_natural_gas_intensity_therms_ft,weather_normalized_site_electricity_kwh,direct_ghg_emissions_metric_tons_co2e,total_ghg_emissions_intensity_kgco2e_ft,direct_ghg_emissions_intensity_kgco2e_ft,egrid_output_emissions_rate_kgco2e_mbtu,avoided_emissions_offsite_green_power_metric_tons_co2e,percent_of_electricity_that_is_green_power,multifamily_housing_number_of_bedrooms_density_number_per_1_000_sq_ft,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_used_to_compute_metrics,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude,letters
48,75.0,375698.0,1988,1,95,11.3,0.0,6905637.348000004,9.5,3.5,0.0,79.5,0.0,0.0,1.59703,0.90498,0.90498,0.0,0.0,100.0,100.0,18233.1,5.0,0,0,105.0,137.0,-73.979813,40.764538,B
70,68.0,791127.7400000003,2000,1,100,6.7,0.6,5942430.6,2358.8880000000013,4.8,3.0,79.5,0.0,0.0,2.08771,1.13105,1.13105,0.0,0.0,100.0,100.0,4594.425778134381,14.0,0,0,104.0,117.0,-73.999917,40.761487,C
73,33.0,791127.7400000003,1980,1,100,8.1,0.9,6905637.348000004,2358.8880000000013,9.5,5.0,79.5,0.0,0.0,1.511241939483864,0.9821742159230608,0.1701013832035182,37.41073014359136,0.5740309088543875,73.35970197368421,95.78447655077947,27102.450000000026,7.0,0,0,105.0,102.0,-73.975393,40.758114,D
87,77.0,791127.7400000003,1990,1,100,9.7,0.6,6905637.348000004,2358.8880000000013,5.3,2.7,79.5,0.0,0.0,1.511241939483864,0.9821742159230608,0.1701013832035182,37.41073014359136,0.5740309088543875,73.35970197368421,95.78447655077947,27102.450000000026,2.0,0,0,105.0,131.0,-73.982095,40.762674,B
1090,58.519394179544754,155000.0,1909,1,100,7.0,0.0,2335522.2,1660.3,6.8,5.0,79.5,0.0,0.0,1.511241939483864,0.9821742159230608,0.1701013832035182,37.41073014359136,0.5740309088543875,73.35970197368421,95.78447655077947,5095.1,4.0,0,0,109.0,205.0,-73.961907,40.810755,C
1091,85.0,320000.0,1960,1,100,7.5,0.7,2406817.4,1062.2,5.4,3.3,79.5,0.0,0.0,1.511241939483864,0.9821742159230608,0.1701013832035182,37.41073014359136,0.5740309088543875,73.35970197368421,95.78447655077947,13881.0,3.0,0,0,108.0,11401.0,-73.968796,40.764308,B
1093,58.519394179544754,791127.7400000003,1918,1,90,5.1,0.0,6169475.4,47.9,5.1,0.0,79.5,0.0,0.0,1.511241939483864,0.9821742159230608,0.1701013832035182,37.41073014359136,0.5740309088543875,73.35970197368421,95.78447655077947,27102.450000000026,3.0,0,0,105.0,101.0,-73.991486,40.749794,C
1095,15.0,401516.0,2008,1,100,9.0,0.7,4139299.7,1819.9,6.4,4.0,79.5,0.0,0.0,1.27517,0.62513,0.62513,0.0,0.0,100.0,100.0,13379.8,6.0,0,0,101.0,23501.0,-74.01096222,40.708006,D
1097,24.0,362939.0,2003,1,65,7.5,0.7,2731798.4,1292.8,5.6,3.5,79.5,0.0,0.0,1.35009,0.8073,0.8073,0.0,0.0,100.0,100.0,10194.5,5.0,0,0,101.0,23501.0,-74.01096222,40.716942,D
1098,12.0,269610.0,2000,1,100,11.6,0.6,3286555.3,870.8,6.3,3.1,79.5,0.0,0.0,1.35381,1.11643,1.11643,0.0,0.0,100.0,100.0,10789.2,8.0,6,0,105.0,58.0,-73.991927,40.74341,D
1151,82.0,92697.0,1952,1,100,4.3,0.0,397946.6,353.0,5.0,3.8,79.5,0.0,0.0,1.18666,1.12194,1.12194,0.0,0.0,90.0,100.0,4594.425778134381,5.0,0,0,106.0,82.0,-73.981211,40.749505,B
1152,70.0,147750.0,1956,1,100,4.9,0.7,770019.1,515.6,4.6,3.2,79.5,0.0,0.0,1.31303,1.25212,1.25212,0.0,0.0,100.0,100.0,4594.425778134381,6.0,0,0,106.0,50.0,-73.984646,40.737011,C
1153,76.0,132469.0,1961,1,100,4.9,0.5,667748.2,353.5,3.9,2.6,79.5,0.0,0.0,1.32106,0.83038,0.83038,0.0,0.0,90.0,100.0,4846.7,9.0,0,0,108.0,138.0,-73.954614,40.777357,B
1154,82.0,83170.0,1920,1,100,7.3,0.1,661173.5,60.3,2.5,0.7,79.5,0.0,0.0,0.78153,0.49297,0.0,41.0,0.49297,90.0,90.0,1170.0,9.0,0,0,102.0,69.0,-74.007956,40.731789,B
1155,61.0,237037.0,1965,1,100,6.0,0.0,1531089.8,1072.5,5.9,4.2,79.5,0.0,0.0,1.51875,1.05469,1.05469,0.0,0.0,90.0,100.0,4594.425778134381,7.0,0,0,103.0,42.0,-73.989962,40.730345,C
1156,31.0,114290.0,1959,1,100,7.3,0.0,874200.8,8.0,5.4,0.1,79.5,0.0,0.0,1.25995,0.97996,0.48998,35.0,0.30624,100.0,100.0,4594.425778134381,6.0,0,0,106.0,10601.0,-73.96242,40.758108,D
1157,65.0,72409.0,1927,1,100,4.6,0.0,374158.5,337.6,5.5,4.2,79.5,0.0,0.0,1.07721,0.96673,0.96673,0.0,0.0,80.0,100.0,2022.7,5.0,0,0,106.0,98.0,-73.970334,40.75483,C
1158,100.0,68821.0,1907,1,100,3.7,0.0,257321.5,33.7,1.5,0.5,79.5,0.0,0.0,0.84277,0.5231,0.1453,16.0,0.23249,90.0,100.0,1646.2,5.0,0,0,107.0,175.0,-73.977065,40.788559,A
1159,40.0,284443.0,1955,1,100,6.1,0.0,1790413.3,19.1,5.4,0.1,79.5,0.0,0.0,1.1918,0.54141,0.54141,0.0,0.0,80.0,90.0,4594.425778134381,12.0,0,0,108.0,142.0,-73.96156,40.77995,D
1160,54.0,164629.0,1959,1,100,5.0,0.7,873331.3,599.5,4.8,3.4,79.5,0.0,0.0,1.21485,1.00225,1.00225,0.0,0.0,90.0,100.0,6544.0,15.0,0,0,106.0,90.0,-73.970565,40.754111,D
1161,24.0,38981.0,1900,1,100,8.7,0.0,340281.0,269.5,9.3,6.9,79.5,0.0,0.0,2.41143,1.59052,0.0,62.0,1.59052,80.0,100.0,4594.425778134381,6.0,0,0,102.0,61.0,-73.992812,40.732319,D
1162,88.0,136655.0,1927,1,100,3.5,0.0,475994.4,407.0,3.9,3.0,79.5,0.0,0.0,0.89276,0.67323,0.67323,0.0,0.0,90.0,100.0,2809.7,8.0,0,0,106.0,10601.0,-73.962294,40.758053,A
1163,14.0,209706.0,1958,1,100,7.0,0.7,1477465.4,752.0,5.6,3.6,79.5,0.0,0.0,0.96802,0.90603,0.42917,60.0,0.28611,90.0,90.0,8052.8,5.0,0,0,106.0,8603.0,-73.964284,40.755556,D
1164,36.0,93252.0,1938,1,100,8.8,0.6,819606.6,257.1,5.1,2.8,79.5,0.0,0.0,1.65144,0.94368,0.94368,0.0,0.0,90.0,90.0,4594.425778134381,12.0,0,0,108.0,142.0,-73.960751,40.779135,D
1165,53.0,184489.0,1963,1,100,8.3,0.0,1528638.0,3.4,3.6,0.0,79.5,0.0,0.0,0.6396,0.28728,0.28728,0.0,0.0,90.0,90.0,4594.425778134381,7.0,0,0,108.0,11401.0,-73.972745,40.764627,D
1166,23.0,227773.0,1957,1,100,6.0,0.0,1360538.7,15.1,5.9,0.1,79.5,0.0,0.0,1.30832,0.85173,0.25903,75.0,0.32928,90.0,100.0,4594.425778134381,8.0,0,0,108.0,126.0,-73.960675,40.767258,D
1167,43.0,34232.0,1982,1,100,12.7,0.4,724951.7,108.5,5.3,1.9,79.5,0.0,0.0,1.34377,0.90559,0.4674,15.0,0.43819,90.0,90.0,1492.7,6.0,0,0,108.0,130.0,-73.963296,40.774253,D
1168,84.0,142169.0,1961,1,100,4.3,0.0,629126.3,16.2,5.0,0.1,79.5,0.0,0.0,2.67288,0.94957,0.49941,40.0,0.28136,100.0,100.0,4594.425778134381,10.0,0,0,102.0,71.0,-73.999264,40.737487,B
1169,16.0,86786.0,1964,1,100,6.3,1.0,543613.7,435.1,6.7,5.0,79.5,0.0,0.0,1.39423,1.1753,1.1753,0.0,0.0,100.0,100.0,4188.3,5.0,0,0,108.0,132.0,-73.951179,40.769146,D
1170,54.0,49900.0,1963,1,100,4.1,0.0,206269.3,350.5,8.1,7.0,79.5,0.0,0.0,1.56313,1.56313,1.4145867999999988,0.0,0.0,90.0,100.0,2921.1,5.0,0,0,106.0,80.0,-73.977685,40.74802,D
1171,32.0,106163.0,1910,1,100,6.4,0.0,715934.7,311.0,4.5,2.8,79.5,0.0,0.0,0.452758,0.22607,0.22607,0.0,0.0,90.0,90.0,4594.425778134381,6.0,0,0,108.0,122.0,-73.96891,40.766616,D
1172,71.0,129565.0,1940,1,100,4.3,0.6,584932.6,361.4,3.9,2.7,79.5,0.0,0.0,1.10369,0.94933,0.43993,40.0,0.30873,90.0,100.0,3391.7,7.0,0,0,106.0,82.0,-73.980338,40.749266,B
1173,92.0,65721.0,1927,1,100,2.8,0.5,184074.3,167.3,3.3,2.5,79.5,0.0,0.0,1.17162,0.65428,0.65428,0.0,0.0,90.0,90.0,4594.425778134381,7.0,0,0,108.0,140.0,-73.957265,40.776005,A
1175,35.0,307142.0,1970,1,100,6.2,0.7,1967882.8,1131.8,5.3,3.6,79.5,0.0,0.0,1.18512,0.83675,0.83675,0.0,0.0,90.0,90.0,9338.2,4.0,0,0,108.0,14602.0,-73.95236,40.779011,D
1176,60.0,139626.0,1965,1,100,4.6,0.7,705886.5,577.2,5.1,3.8,79.5,0.0,0.0,1.53983,1.17457,1.17457,0.0,0.0,100.0,100.0,4035.7,5.0,0,0,108.0,120.0,-73.962639,40.766971,C
1177,25.0,313271.0,1973,1,100,6.5,0.6,2040131.4,871.6,4.6,2.8,79.5,0.0,0.0,0.67035,0.60012,0.60012,0.0,0.0,100.0,100.0,10323.1,3.0,0,0,108.0,15002.0,-73.956922,40.782575,D
1178,39.0,208606.0,1968,1,100,7.5,0.6,1627508.3,668.0,5.2,3.1,79.5,0.0,0.0,1.0738,1.03065,1.03065,0.0,0.0,100.0,100.0,10851.2,7.0,0,0,108.0,138.0,-73.952952,40.774183,D
1179,91.0,126338.0,1930,1,100,4.1,0.5,524819.0,312.9,3.6,2.5,79.5,0.0,0.0,1.48016,0.55407,0.55407,0.0,0.0,90.0,90.0,3228.6,9.0,0,0,108.0,16001.0,-73.952766,40.786274,A
1180,69.0,217275.0,1938,1,100,5.7,0.4,1227928.7,437.2,3.6,2.0,79.5,0.0,0.0,0.98493,0.58451,0.58451,0.0,0.0,90.0,90.0,4594.425778134381,15.0,0,0,106.0,10601.0,-73.960753,40.757265,C
1181,95.0,204525.0,1923,1,100,2.5,0.5,506444.1,478.9,3.0,2.3,79.5,0.0,0.0,1.04633,0.55739,0.55739,0.0,0.0,90.0,100.0,4045.5,7.0,0,0,107.0,191.0,-73.971477,40.799781,A
1182,56.0,55115.0,1930,1,100,4.8,0.0,264584.5,270.4,6.2,4.9,79.5,0.0,0.0,1.37894,0.72576,0.0,40.0,0.72576,80.0,90.0,1300.9,7.0,0,0,106.0,8603.0,-73.964228,40.753893,C
1183,99.0,55061.0,1923,1,100,3.6,0.3,199843.7,84.6,2.6,1.5,79.5,0.0,0.0,1.45293,0.8536,0.8536,0.0,0.0,80.0,100.0,1449.7,9.0,0,0,108.0,14802.0,-73.954585,40.782432,A
1184,50.0,121573.0,1908,1,100,4.5,0.0,592101.3,2.2,4.8,0.0,79.5,0.0,0.0,0.90481,0.50998,0.50998,0.0,0.0,90.0,90.0,4594.425778134381,6.0,0,0,105.0,11203.0,-73.97036,40.762131,D
1185,58.0,151547.0,1929,1,100,5.1,0.6,767553.1,440.0,4.3,2.9,79.5,0.0,0.0,0.85782,0.38272,0.38272,0.0,0.0,100.0,100.0,3206.9,6.0,0,0,108.0,140.0,-73.95873,40.778072,C
1186,53.0,120905.0,1983,1,100,6.0,0.6,727637.5,337.0,4.5,2.8,79.5,0.0,0.0,1.32335,0.65341,0.4549,15.0,0.12406,90.0,100.0,6371.2,8.0,0,0,106.0,88.0,-73.971372,40.750359,D
1187,85.0,102900.0,1957,1,100,4.5,0.5,459217.1,225.1,3.4,2.2,79.5,0.0,0.0,1.18562,0.65112,0.65112,0.0,0.0,90.0,100.0,3187.4,7.0,0,0,108.0,15001.0,-73.957313,40.780034,B
1188,17.0,172273.0,1955,1,100,10.3,0.7,1863508.3,583.7,6.0,3.2,79.5,0.0,0.0,0.99842,0.78364,0.0,135.0,0.78364,80.0,100.0,4594.425778134381,18.0,0,0,102.0,59.0,-73.99387,40.731976,D
1189,58.519394179544754,129582.0,1929,1,100,4.4,0.0,618951.5,550.5,5.1,3.9,79.5,0.0,0.0,1.35821,0.41672,0.10804,25.0,0.19293,90.0,100.0,2722.2,14.0,0,0,108.0,128.0,-73.961409,40.772627,C
1190,76.0,97677.0,1932,1,100,4.5,0.0,441116.5,384.4,5.2,3.9,79.5,0.0,0.0,1.25925,0.97259,0.97259,0.0,0.0,100.0,100.0,1930.7,7.0,0,0,108.0,126.0,-73.959457,40.770148,B
1191,81.0,82199.0,1930,1,100,4.4,0.0,363099.1,304.5,4.9,3.7,79.5,0.0,0.0,1.30172,0.88809,0.88809,0.0,0.0,100.0,100.0,2145.8,5.0,0,0,108.0,126.0,-73.959543,40.770203,B
1192,58.519394179544754,360135.0,1965,1,100,7.9,0.8,3383189.4,1845.3,6.5,4.3,79.5,0.0,0.0,1.49388,1.37726,0.75527,140.0,0.38874,100.0,100.0,22755.0,11.0,0,0,105.0,52.0,-73.993245,40.735859,C
1193,66.0,93280.0,1930,1,100,3.9,0.6,363205.8,273.4,4.0,2.9,79.5,0.0,0.0,1.01844,0.71827,0.71827,0.0,0.0,90.0,100.0,3682.7,9.0,0,0,106.0,68.0,-73.985021,40.737953,C
1194,36.0,52740.0,1916,1,100,6.1,0.0,320740.3,268.4,6.7,5.1,79.5,0.0,0.0,1.36519,0.56883,0.11377,13.0,0.24649,80.0,100.0,1499.8,13.0,0,0,108.0,140.0,-73.957929,40.777114,D
1196,49.0,138635.0,1955,1,100,4.6,0.6,643083.7,411.6,4.3,3.0,79.5,0.0,0.0,0.96657,0.85837,0.30295,45.0,0.32459,90.0,90.0,6775.1,5.0,0,0,105.0,54.0,-73.994364,40.738042,D
1198,80.0,69643.0,1964,1,100,5.4,0.0,373811.0,320.2,6.1,4.6,79.5,0.0,0.0,1.86666,1.65128,1.4145867999999988,0.0,0.0,90.0,100.0,3543.5,5.0,0,0,104.0,139.0,-73.984,40.766303,B
1199,5.0,172396.0,1964,1,100,6.9,1.3,1196468.7,1175.6,8.7,6.8,79.5,0.0,0.0,1.57776,1.41535,1.4145867999999988,0.0,0.0,100.0,100.0,10462.3,6.0,0,0,108.0,124.0,-73.953199,40.766611,D
1200,91.0,118008.0,1925,1,100,3.7,0.5,439713.6,276.2,3.4,2.3,79.5,0.0,0.0,1.33042,0.89824,0.89824,0.0,0.0,80.0,90.0,3553.0,6.0,0,0,111.0,16002.0,-73.95408,40.788067,A
1206,41.0,114394.0,2008,1,100,12.6,0.5,1439226.5,276.2,5.8,2.4,79.5,0.0,0.0,1.511241939483864,0.9821742159230608,0.1701013832035182,37.41073014359136,0.5740309088543875,73.35970197368421,95.78447655077947,4594.425778134381,3.0,0,0,103.0,18.0,-73.988864,40.719111,D
1215,72.0,588696.0,1989,1,100,11.1,0.0,6905637.348000004,46.2,5.0,0.1,79.5,0.0,0.0,1.511241939483864,0.9821742159230608,0.1701013832035182,37.41073014359136,0.5740309088543875,73.35970197368421,95.78447655077947,22802.1,7.0,0,0,105.0,125.0,-73.985189,40.760375,B
1219,51.0,53421.0,2000,1,100,10.5,0.6,729566.0,194.0,5.7,2.8,79.5,0.0,0.0,1.511241939483864,0.9821742159230608,0.1701013832035182,37.41073014359136,0.5740309088543875,73.35970197368421,95.78447655077947,3321.4,6.0,0,0,106.0,64.0,-73.982582,40.738603,D
1223,64.0,791127.7400000003,1958,1,100,5.6,0.5,4943369.2,1980.3,3.8,2.2,79.5,0.0,0.0,0.81524,0.44921,0.44921,0.0,0.0,100.0,100.0,4594.425778134381,14.0,0,0,108.0,120.0,-73.963007,40.76822,C
1225,1.0,647604.8,1993,1,95,16.5,0.6,6905637.348000004,2109.7,7.7,3.3,79.5,0.0,0.0,0.59295,0.32273,0.32273,0.0,0.0,20.0,100.0,4594.425778134381,7.0,0,0,107.0,153.0,-73.981818,40.774532,D
1226,58.519394179544754,75000.0,1897,1,100,12.7,0.1,1934762.7,52.7,6.2,0.3,79.5,0.0,0.0,1.511241939483864,0.9821742159230608,0.1701013832035182,37.41073014359136,0.5740309088543875,73.35970197368421,95.78447655077947,4581.8,3.0,0,0,105.0,96.0,-73.981014,40.755244,C
1247,97.0,152746.0,2003,1,100,3.3,0.5,510949.8,339.8,3.1,2.2,79.5,0.0,0.0,1.362,1.09332,1.09332,0.0,0.0,100.0,100.0,6321.8,2.0,0,0,105.0,76.0,-73.987018,40.748606,A
1248,9.0,406180.0,2007,1,100,9.7,0.6,3993066.0,1258.4,5.7,3.1,79.5,0.0,0.0,1.11527,0.67458,0.40622,76.0,0.18711,50.0,100.0,16990.5,6.0,0,0,107.0,151.0,-73.989721,40.776007,D
1249,21.0,105948.0,2007,1,100,9.8,0.0,1033473.0,22.7,4.6,0.2,79.5,0.0,0.0,1.13263,0.68902,0.10382,39.0,0.36811,30.0,100.0,4594.425778134381,6.0,0,0,101.0,1502.0,-74.007538,40.7089,D
1250,93.0,211707.0,2010,1,100,10.4,0.1,2219477.2,59.0,3.1,0.3,79.5,0.0,0.0,0.7038,0.2217655,0.04724,10.0,0.04724,100.0,100.0,4384.4,5.0,0,0,107.0,171.0,-73.977982,40.788724,A
1251,20.0,316300.0,2010,1,100,10.7,0.0,5993672.3,127.1,5.3,0.2,79.5,0.0,0.0,0.822,0.6007,0.6007,0.0,0.0,100.0,100.0,4594.425778134381,3.0,0,0,105.0,84.0,-73.983409,40.750038,D
1252,34.0,653938.0,2009,1,100,8.2,0.5,5406584.9,1812.9,4.9,2.8,79.5,0.0,0.0,1.10102,0.41288,0.23091,70.0,0.10704,90.0,100.0,17298.3,5.0,0,0,107.0,151.0,-73.99023,40.775485,D
1265,1.0,72370.0,2008,1,100,18.4,0.4,1474349.6,155.8,7.0,1.9,79.5,0.0,0.0,0.7738,0.41454,0.01382,13.0,0.17963,100.0,100.0,3388.3,3.0,0,0,102.0,77.0,-74.002515,40.738961,D
1266,51.0,137891.0,2009,1,100,8.2,0.4,1171312.5,284.5,4.2,2.0,79.5,0.0,0.0,1.09507,0.48589,0.48589,0.0,0.0,100.0,100.0,3086.5,6.0,0,0,102.0,47.0,-74.004308,40.72173,D
1271,58.519394179544754,53866.0,1922,1,100,5.6,0.6,321473.3,153.3,4.2,2.7,79.5,0.0,0.0,1.13244,0.96536,0.96536,0.0,0.0,90.0,100.0,4302.0,10.0,0,0,108.0,140.0,-73.957995,40.775481,C
1272,98.0,91273.0,1922,1,100,2.9,0.5,268335.8,204.4,3.1,2.2,79.5,0.0,0.0,1.67629,0.77789,0.0,71.0,0.77789,90.0,100.0,3842.6,8.0,0,0,112.0,247.0,-73.945635,40.838824,A
1273,88.0,62604.0,1914,1,100,3.9,0.6,241212.2,191.8,4.1,3.1,79.5,0.0,0.0,2.06057,1.03827,0.0,65.0,1.03827,90.0,100.0,3402.6,8.0,0,0,109.0,237.0,-73.948374,40.8305,A
1275,58.519394179544754,259636.0,1965,1,100,6.7,0.4,2580886.2,732.3,3.8,1.9,79.5,0.0,0.0,1.26716,1.2402,1.2402,0.0,0.0,90.0,100.0,14207.7,13.0,0,0,104.0,139.0,-73.983408,40.767824,C
1276,86.0,90849.0,1925,1,100,5.1,0.4,531654.8,211.8,3.4,2.0,79.5,0.0,0.0,1.53001,0.80353,0.0,73.0,0.80353,90.0,100.0,4594.425778134381,7.0,0,0,111.0,16002.0,-73.955246,40.788619,A
1277,11.0,61251.0,1955,1,100,10.4,0.2,634832.2,206.4,6.2,3.4,79.5,0.0,0.0,1.02856,0.91427,0.91427,0.0,0.0,90.0,100.0,4594.425778134381,12.0,0,0,108.0,142.0,-73.961308,40.777425,D
1278,64.0,402707.0,1972,1,100,5.9,0.0,2372716.6,38.3,5.8,0.1,79.5,0.0,0.0,1.511241939483864,0.9821742159230608,0.1701013832035182,37.41073014359136,0.5740309088543875,73.35970197368421,95.78447655077947,21519.2,3.0,0,0,107.0,147.0,-73.988321,40.770723,C
1282,67.0,95603.0,1912,1,100,5.8,0.6,557381.1,252.7,4.2,2.6,79.5,0.0,0.0,0.78449,0.2615,0.2615,0.0,0.0,100.0,100.0,3552.5,7.0,0,0,108.0,11402.0,-73.968124,40.764543,C
1284,28.0,83425.0,1946,1,100,4.3,0.0,354755.7,485.4,7.0,5.8,79.5,0.0,0.0,0.88702,0.88702,0.0,74.0,0.88702,90.0,100.0,6634.6,10.0,0,0,112.0,299.0,-73.91984190000001,40.863241,D
1286,58.519394179544754,57148.0,1920,1,100,7.104354130776716,0.5096468802428696,872669.6045350895,0.0,4.994492941049683,0.0,79.5,0.0,0.0,1.4,0.73493,0.0,42.0,0.73493,100.0,100.0,4594.425778134381,0.0,0,0,110.0,257.0,-73.957188,40.807006,C
1287,44.0,40339.0,2008,1,100,10.1,0.2,406465.5,41.7,3.8,1.0,79.5,0.0,0.0,1.11555,0.86765,0.86765,0.0,0.0,100.0,100.0,3034.8,5.0,0,0,104.0,87.0,-73.995359,40.741525,D
1288,74.0,75367.0,1912,1,100,4.6,0.6,351741.6,222.4,4.2,2.9,79.5,0.0,0.0,1.27377,0.544,0.544,0.0,0.0,90.0,100.0,2054.2,5.0,0,0,107.0,171.0,-73.977993,40.78868,B
1290,58.519394179544754,61602.0,1920,1,100,7.104354130776716,0.5096468802428696,872669.6045350895,0.0,4.994492941049683,0.0,79.5,0.0,0.0,1.4,0.7792,0.0,48.0,0.7792,100.0,100.0,4594.425778134381,0.0,0,0,109.0,21303.0,-73.952367,40.814014,C
1294,58.519394179544754,67330.0,1911,1,100,7.104354130776716,0.5096468802428696,872669.6045350895,0.0,4.994492941049683,0.0,79.5,0.0,0.0,1.4,0.80202,0.0,54.0,0.80202,100.0,100.0,4594.425778134381,0.0,0,0,109.0,23501.0,-73.942618,40.829724,C
1295,58.519394179544754,50613.0,1930,1,100,7.104354130776716,0.5096468802428696,872669.6045350895,0.0,4.994492941049683,0.0,79.5,0.0,0.0,1.4,0.92862,0.0,47.0,0.92862,100.0,100.0,4594.425778134381,0.0,0,0,109.0,227.0,-73.944993,40.823563,C
1296,1.0,252925.0,1961,1,100,20.0,1.6,6905637.348000004,2358.8880000000013,12.7,9.3,79.5,0.0,0.0,1.24938,0.75516,0.75516,0.0,0.0,90.0,90.0,12167.1,2.0,4,0,108.0,126.0,-73.961014,40.769015,D
1297,80.0,232793.0,1960,1,100,1.3,0.7,56246.647999999994,1065.1,4.6,4.6,79.5,0.0,0.0,0.8935,0.79899,0.79899,0.0,0.0,90.0,90.0,27102.450000000026,4.0,0,0,104.0,91.0,-73.997272,40.746948,B
1316,88.0,456567.0,1899,1,95,8.9,0.3,4931054.5,770.9,3.7,1.4,79.5,0.0,0.0,2.09827,1.04913,1.04913,0.0,0.0,80.0,100.0,4594.425778134381,11.0,0,0,102.0,69.0,-74.0077,40.732234,A
1317,80.0,123646.0,1996,1,95,6.3,0.5,773411.2,309.3,4.2,2.5,79.5,0.0,0.0,2.39393,1.19697,0.0,83.0,0.67127,10.0,100.0,3316.1,6.0,0,0,102.0,79.0,-74.008671,40.737564,B
1318,82.0,111280.0,1900,2,90,7.6,0.5,840817.9,274.2,4.5,2.5,79.5,0.0,0.0,2.76779,1.3839,1.08735,33.0,0.29655,100.0,100.0,2468.5,10.0,0,0,102.0,79.0,-74.008816,40.738739,B
1319,82.0,166518.0,1987,1,95,7.8,0.0,1293663.8,503.1,5.2,3.0,79.5,0.0,0.0,2.64236,1.32118,0.0,151.34000000000015,1.32118,90.0,90.0,4833.2,7.0,0,0,104.0,133.0,-73.988213,40.765623,B
1320,78.0,357000.0,1998,1,100,6.2,0.5,2200717.1,833.1,4.1,2.3,79.5,0.0,0.0,1.90476,0.95238,0.95238,0.0,0.0,100.0,100.0,12817.8,6.0,0,0,101.0,23501.0,-74.01096222,40.71793,B
1322,49.0,532300.0,1961,1,95,10.1,0.5,5453591.8,1239.1,5.0,2.3,79.5,0.0,0.0,2.16983,1.0821,1.0821,0.0,0.0,100.0,100.0,14567.6,5.0,0,0,101.0,1502.0,-74.005316,40.708006,D
1340,57.0,87400.0,1897,1,100,5.4,0.3,470764.1,113.7,2.8,1.3,79.5,0.0,0.0,0.61785,0.53776,0.0,16.0,0.18307,100.0,100.0,1974.1,3.0,0,0,110.0,218.0,-73.95383,40.804667,C
1342,58.519394179544754,38013.0,1963,1,100,10.3,0.6,516269.3,151.6,5.8,3.0,79.5,0.0,0.0,0.86812,0.44722,0.0,7.0,0.18415,100.0,100.0,1401.8,7.0,0,0,105.0,54.0,-73.994129,40.738725,C
1343,14.0,151627.0,1963,1,100,10.2,0.1,1541174.2,43.1,4.3,0.3,79.5,0.0,0.0,0.52761,0.23742,0.06595,10.0,0.06595,100.0,100.0,4594.425778134381,6.0,0,0,108.0,142.0,-73.962933,40.778065,D
1344,62.0,113456.0,2007,1,100,8.8,0.0,1007794.6,2.2,3.7,0.0,79.5,0.0,0.0,1.35735,0.67868,0.37019,20.0,0.17628,100.0,100.0,4594.425778134381,6.0,0,0,103.0,42.0,-73.987537,40.732818,C
1345,58.519394179544754,35180.0,2005,1,100,15.7,0.5,575575.0,94.6,6.6,2.6,79.5,0.0,0.0,0.79591,0.2217655,0.02843,4.0,0.1137,100.0,100.0,1509.6,6.0,0,0,111.0,16002.0,-73.955041,40.787609,C
1346,58.519394179544754,62857.0,1951,1,100,17.3,0.0,1089125.3,2.3,9.4,0.0,79.5,0.0,0.0,0.57273,0.2217655,0.15909,0.0,0.0,100.0,100.0,4594.425778134381,5.0,0,0,108.0,122.0,-73.970339,40.767925,C
1347,86.0,94933.0,1928,1,100,3.5,0.6,333492.4,278.4,3.9,2.9,79.5,0.0,0.0,1.34832,0.54775,0.54775,0.0,0.0,100.0,100.0,2803.3,7.0,0,0,106.0,108.0,-73.96385,40.75871,A
1348,29.0,73109.0,2005,1,100,7.2,0.1,566419.2,40.1,5.3,0.5,79.5,0.0,0.0,1.12161,0.51977,0.19149,15.0,0.20517,100.0,100.0,4594.425778134381,5.0,0,0,106.0,108.0,-73.966928,40.75999,D
1349,4.0,164464.0,2005,1,100,12.6,0.4,2128893.3,294.5,5.1,1.7,79.5,0.0,0.0,0.51075,0.24929,0.05472,20.0,0.12161,100.0,100.0,3507.6,5.0,0,0,102.0,47.0,-74.00127,40.721447,D
1350,58.519394179544754,27040.0,1931,1,100,4.4,0.0,119141.2,122.4,5.8,4.5,79.5,0.0,0.0,0.96154,0.55473,0.55473,0.0,0.0,90.0,90.0,892.4,5.0,0,0,108.0,140.0,-73.960754,40.775292,C
1365,43.0,186802.0,1962,1,100,5.5,0.0,1026614.8,16.7,4.9,0.1,79.5,0.0,0.0,1.01712,0.53533,0.53533,0.0,0.0,100.0,100.0,4594.425778134381,8.0,0,0,108.0,128.0,-73.959817,40.771974,D
