,score,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,weather_normalized_site_electricity_intensity_kwh_ft,weather_normalized_site_natural_gas_intensity_therms_ft,weather_normalized_site_electricity_kwh,direct_ghg_emissions_metric_tons_co2e,total_ghg_emissions_intensity_kgco2e_ft,direct_ghg_emissions_intensity_kgco2e_ft,egrid_output_emissions_rate_kgco2e_mbtu,avoided_emissions_offsite_green_power_metric_tons_co2e,percent_of_electricity_that_is_green_power,multifamily_housing_number_of_bedrooms_density_number_per_1_000_sq_ft,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_used_to_compute_metrics,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude,letters
11527,59.0,35581.0,2004,1,100,6.7,0.5,238157.3,85.5,4.3,2.4,79.5,0.0,0.0,1.43335,0.95557,0.0,34.0,0.95557,100.0,0.0,1255.2,5.0,0,0,103.0,2201.0,-73.98342,40.720392,C
11528,58.519394179544754,36851.0,1930,1,100,9.1,0.6,369232.4,116.2,5.4,2.9,79.5,0.0,0.0,0.84123,0.2217655,0.32564,0.0,0.0,100.0,100.0,4594.425778134381,6.0,0,0,102.0,61.0,-73.993487,40.735036,C
11530,58.519394179544754,28029.0,1910,1,100,7.5,0.1,210621.3,16.1,2.5,0.6,79.5,0.0,0.0,0.96329,0.3211,0.3211,0.0,0.0,73.35970197368421,95.78447655077947,4594.425778134381,4.0,0,0,105.0,54.0,-73.993465,40.738429,C
11532,30.0,35532.0,1957,1,100,7.1,0.0,252899.8,327.9,11.2,9.2,79.5,0.0,0.0,2.70179,2.019480600000002,0.0,75.0,1.867627100000005,90.0,100.0,1925.7,5.0,0,0,108.0,126.0,-73.95778,40.766835,D
11533,20.0,42864.0,1930,1,100,3.9,0.0,168454.8,356.8,9.4,8.3,79.5,0.0,0.0,1.39978,1.11982,0.0,48.0,1.11982,90.0,100.0,3744.0,10.0,0,0,112.0,267.0,-73.929126,40.849044,D
11534,11.0,25617.0,2012,1,100,9.3,0.6,238490.2,72.5,5.4,2.8,79.5,0.0,0.0,1.01495,0.78073,0.0,20.0,0.78073,90.0,100.0,1009.1,6.0,0,0,104.0,129.0,-73.993585,40.762237,D
11535,81.0,34374.0,1930,2,100,8.6,0.2,297248.9,34.7,3.4,1.0,79.5,0.0,0.0,1.62914,0.64002,0.0,22.0,0.64002,90.0,100.0,620.1,8.0,0,0,108.0,134.0,-73.95678,40.773183,B
11537,40.0,122851.0,1903,1,100,16.0,0.5,2288220.6,314.8,6.5,2.2,79.5,0.0,0.0,1.511241939483864,0.9821742159230608,0.1701013832035182,37.41073014359136,0.5740309088543875,73.35970197368421,95.78447655077947,10611.9,4.0,6,0,105.0,74.0,-73.984893,40.744488,D
11541,10.0,38700.0,2000,1,100,12.5,0.8,482507.0,158.2,7.6,4.1,79.5,0.0,0.0,1.80879,1.80879,0.0,70.0,1.80879,73.35970197368421,95.78447655077947,3039.3,3.0,2,0,112.0,23501.0,-73.938258,40.83604,D
11548,4.0,44032.0,1938,1,95,8.3,0.5096468802428696,366820.4,271.0,8.5,6.2,79.5,0.0,0.0,1.39989,1.06741,0.0,17.0,0.38608,73.35970197368421,95.78447655077947,2845.4,12.0,0,0,112.0,293.0,-73.920331,40.867939,D
